time/fps,reward/info_exist_reward,reward/grasp_reward,train/std,reward/static_reward,time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,reward/goal_reward,time/time_elapsed,reward/approach_reward,train/actor_target_loss,train/ent_coef_loss,train/critic_aux_loss,train/actor_aux_loss,train/actor_loss,train/target_weight,train/ent_coef,train/aux_weight,train/learning_rate,train/critic_loss,train/n_updates,train/critic_target_loss
47,1.86,0.0,0.025763539597392082,0.0,9600,0.0,100.0,92,221.40681,0.0,203,2.7067005473566756,0.10803636093623936,-12.415070533752441,0.31305343098938465,0.23744430067017674,24.27851366996765,100.0,0.15001906594261527,100.0,0.0003,42.24498051404953,1088,0.10529039870016277
47,,,0.025763539597392082,,9600,0.0,100.0,96,221.40681,,203,,,,,,,,,,,,,
45,1.47,0.0,0.025795260444283485,0.0,10400,0.0,100.0,100,221.43748,0.0,226,2.9613067087805014,0.10901452810503542,-12.829186707735062,0.29955813474953175,0.22171293012797832,21.522502213716507,100.0,0.14482963155023754,100.0,0.0003,41.093682527542114,1216,0.10661555815022439
45,,,0.025795260444283485,,10400,0.0,100.0,104,221.43748,,226,,,,,,,,,,,,,
46,0.36,0.0,0.02581203170120716,0.0,11200,0.0,100.0,108,217.08559,0.0,239,2.4284824809593566,0.10913681332021952,-12.693094432353973,0.2960004131309688,0.21480372035875916,20.203713536262512,100.0,0.1423175607342273,100.0,0.0003,40.763592183589935,1280,0.10785769275389612
46,,,0.02581203170120716,,11200,0.0,100.0,112,217.08559,,239,,,,,,,,,,,,,
45,0.0,0.0,0.025843344628810883,0.0,12000,0.0,100.0,116,215.26509,0.0,261,2.4158326981933644,0.10260186076629907,-12.916666075587273,0.29575885832309723,0.22359514888375998,19.450474441051483,100.0,0.1372583033517003,100.0,0.0003,40.06593835353851,1408,0.10053223790600896
45,,,0.025843344628810883,,12000,0.0,100.0,120,215.26509,,261,,,,,,,,,,,,,
46,0.36,0.0,0.025859901681542397,0.0,12800,0.0,100.0,124,212.85475,0.0,274,2.233291688102325,0.09875510295387357,-13.538168370723724,0.2992447232827544,0.22668603481724858,18.778826251626015,100.0,0.13488365663215518,100.0,0.0003,40.08087623119354,1472,0.09713136544451118
46,,,0.025859901681542397,,12800,0.0,100.0,128,212.85475,,274,,,,,,,,,,,,,
