time/episodes,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,train/std,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef
716,347.16113,0.0,100.0,72,982,71600,0.025769628584384918,-137.04090976715088,6.9041887819767,0.0003,17696,1.842828955501318,0.022538056015037
720,347.72247,0.0,100.0,72,988,72000,0.025776298716664314,-137.60945796966553,7.385867416858673,0.0003,17792,3.427125185728073,0.022746395086869597
724,347.7192,0.0,100.0,72,994,72400,0.025780340656638145,-138.21559810638428,6.51112025976181,0.0003,17904,0.615068357437849,0.02287994313519448
728,349.31195,0.0,100.0,72,1000,72800,0.025789793580770493,-138.5834836959839,6.462582603096962,0.0003,18000,1.0541894361376762,0.023064285283908248
732,352.0916,0.0,100.0,72,1007,73200,0.025791393592953682,-138.71147060394287,7.2361322939395905,0.0003,18096,2.3985998891294003,0.023203285760246217
736,352.81763,0.0,100.0,72,1013,73600,0.02579256147146225,-139.9204559326172,7.157489717006683,0.0003,18192,-1.0956624187529087,0.023430221830494702
740,353.40588,0.0,100.0,72,1020,74000,0.025794994086027145,-140.591064453125,7.398946225643158,0.0003,18304,0.5654372442513704,0.02361942722927779
744,352.8489,0.0,100.0,72,1026,74400,0.02579263411462307,-140.8031406402588,6.8245861530303955,0.0003,18400,1.3436900526285172,0.023813534062355757
748,354.43036,0.0,100.0,72,1032,74800,0.02579520456492901,-141.20316886901855,6.417133659124374,0.0003,18496,0.4560895375907421,0.023995998315513134
752,353.19653,0.0,100.0,72,1038,75200,0.02579428069293499,-141.4410171508789,6.896956086158752,0.0003,18592,-0.8139365836977959,0.024001009995117784
756,353.18607,0.0,100.0,72,1044,75600,0.02580101601779461,-142.07693099975586,6.662853538990021,0.0003,18704,-0.5715912878513336,0.024058244074694812
760,354.00443,0.0,100.0,72,1049,76000,0.025800492614507675,-142.50718021392822,6.760626524686813,0.0003,18800,-0.36151131987571716,0.023930404917337
764,353.2951,0.0,100.0,72,1055,76400,0.02580513432621956,-143.06374740600586,6.242391884326935,0.0003,18896,-0.20040584355592728,0.024018391501158476
768,353.696,0.0,100.0,72,1061,76800,0.02581058070063591,-143.13169193267822,6.121181905269623,0.0003,18992,-0.19499470107257366,0.024006788386031985
772,353.94684,0.0,100.0,72,1067,77200,0.025811361148953438,-143.3571949005127,6.961233139038086,0.0003,19104,1.0914048552513123,0.024012372479774058
776,354.04758,0.0,100.0,72,1073,77600,0.025810711085796356,-144.6347780227661,7.018760144710541,0.0003,19200,0.06274458765983582,0.024115512613207102
780,354.38284,0.0,100.0,72,1079,78000,0.025812244042754173,-144.89506435394287,6.8569305539131165,0.0003,19296,1.5353159923106432,0.02426095528062433
784,354.7914,0.0,100.0,72,1085,78400,0.0258141178637743,-145.43651866912842,6.399057477712631,0.0003,19392,0.3936506509780884,0.024307741317898035
788,355.15805,0.0,100.0,72,1091,78800,0.025816339999437332,-145.47746658325195,7.37155482172966,0.0003,19504,2.626398643478751,0.024500131141394377
792,355.62515,0.0,100.0,72,1096,79200,0.025821128860116005,-145.80162048339844,6.533310532569885,0.0003,19600,0.723257465288043,0.0247145127505064
796,356.64453,0.0,100.0,72,1104,79600,0.025822902098298073,-146.27878952026367,7.016939163208008,0.0003,19696,0.4403736088424921,0.024727964540943503
800,356.958,0.0,100.0,72,1109,80000,0.02582867071032524,-146.6286268234253,7.6275812685489655,0.0003,19792,1.4305481389164925,0.024900148855522275
804,357.60022,0.0,100.0,72,1115,80400,0.025829030200839043,-147.54761791229248,6.7162653505802155,0.0003,19904,-0.4299998115748167,0.02512155589647591
808,356.62567,0.0,100.0,72,1121,80800,0.02583480067551136,-147.9278163909912,7.216025084257126,0.0003,20000,1.3872754592448473,0.025309650460258126
812,356.71228,0.0,100.0,72,1127,81200,0.025838984176516533,-148.0751495361328,5.936740338802338,0.0003,20096,1.9409516863524914,0.02559287310577929
816,356.4849,0.0,100.0,71,1133,81600,0.025843748822808266,-148.4960355758667,6.265156775712967,0.0003,20192,0.4136742604896426,0.02574870060198009
820,357.24863,0.0,100.0,71,1140,82000,0.02585451491177082,-148.82303142547607,6.932294130325317,0.0003,20304,-1.4050221471115947,0.025798788061365485
824,357.46402,0.0,100.0,71,1146,82400,0.02585292048752308,-149.29158687591553,6.47301983833313,0.0003,20400,-2.627995990216732,0.025704324943944812
828,357.5465,0.0,100.0,71,1152,82800,0.025852104648947716,-149.4771213531494,6.121714323759079,0.0003,20496,-0.274050110951066,0.025540450937114656
832,357.13495,0.0,100.0,71,1157,83200,0.025855926796793938,-150.2790641784668,6.471690118312836,0.0003,20592,2.2875105645507574,0.02565041882917285
836,356.68262,0.0,100.0,71,1165,83600,0.02585728093981743,-150.04057502746582,6.5646832883358,0.0003,20704,-1.5199597235769033,0.02586126863025129
840,355.65652,0.0,100.0,71,1171,84000,0.0258626826107502,-150.93220710754395,5.874392002820969,0.0003,20800,-0.6305250227451324,0.025803640019148588
844,357.16824,0.0,100.0,71,1178,84400,0.025865372270345688,-150.91733741760254,5.933316707611084,0.0003,20896,0.25818604975938797,0.02566293382551521
848,356.24396,0.0,100.0,71,1183,84800,0.025866569951176643,-150.64497470855713,6.131057411432266,0.0003,20992,-1.3302602749317884,0.025663148029707372
852,357.0784,0.0,100.0,71,1189,85200,0.025872621685266495,-151.92231464385986,6.491629779338837,0.0003,21104,1.7780710980296135,0.025677177123725414
856,358.71982,0.0,100.0,71,1195,85600,0.025871938094496727,-151.99325561523438,6.6264742612838745,0.0003,21200,0.2848620507866144,0.02570607722736895
860,358.85782,0.0,100.0,71,1201,86000,0.025872206315398216,-152.09859085083008,6.064098298549652,0.0003,21296,-1.867991516366601,0.025802339892834425
864,358.91306,0.0,100.0,71,1207,86400,0.025877872481942177,-152.72785472869873,7.80759796500206,0.0003,21392,-0.08106342703104019,0.02583413978572935
868,358.58536,0.0,100.0,71,1212,86800,0.025880316272377968,-152.38202667236328,5.564137727022171,0.0003,21504,-0.12210915051400661,0.02572645095642656
872,358.46274,0.0,100.0,71,1218,87200,0.02588069997727871,-153.28040027618408,5.672150611877441,0.0003,21600,0.7831374555826187,0.025559493922628462
876,357.84824,0.0,100.0,71,1224,87600,0.025883130729198456,-153.04554080963135,6.938012361526489,0.0003,21696,-0.0028987806290388107,0.02561013982631266
880,357.19727,0.0,100.0,71,1229,88000,0.02588678151369095,-153.8304271697998,5.8689590990543365,0.0003,21792,-2.100220538675785,0.025545586715452373
884,356.6122,0.0,100.0,71,1235,88400,0.025887859985232353,-154.13477039337158,5.533309698104858,0.0003,21904,0.8294582664966583,0.02539009158499539
888,357.10718,0.0,100.0,71,1241,88800,0.025893384590744972,-154.171368598938,5.725225538015366,0.0003,22000,-0.5931126996874809,0.02548792981542647
892,358.06598,0.0,100.0,71,1248,89200,0.02589907869696617,-154.86431694030762,6.5514235496521,0.0003,22096,0.9332607984542847,0.025526061770506203
896,357.58514,0.0,100.0,71,1254,89600,0.025904234498739243,-154.9168519973755,6.116343706846237,0.0003,22192,0.5178007911890745,0.025555917993187904
900,358.02164,0.0,100.0,71,1261,90000,0.025912823155522346,-155.25809383392334,6.186307221651077,0.0003,22304,0.443434776738286,0.025420289137400687
904,358.20178,0.0,100.0,71,1267,90400,0.02591443806886673,-155.55843448638916,6.878584206104279,0.0003,22400,-0.49427724815905094,0.02536764636170119
908,357.28394,0.0,100.0,71,1272,90800,0.025918839499354362,-155.93268489837646,5.434639751911163,0.0003,22496,-1.9869646923616529,0.02527193375863135
912,357.34607,0.0,100.0,71,1278,91200,0.025924555957317352,-155.96499824523926,5.5395859479904175,0.0003,22592,-1.5555150397121906,0.025185512378811836
916,356.778,0.0,100.0,71,1284,91600,0.025930754840373993,-156.15718173980713,5.715970009565353,0.0003,22704,1.2165713291615248,0.02515520330052823
920,356.9755,0.0,100.0,71,1290,92000,0.025931639596819878,-156.74254322052002,5.645261883735657,0.0003,22800,-1.6649262458086014,0.025116170290857553
924,357.25644,0.0,100.0,71,1296,92400,0.02593180164694786,-157.32291412353516,5.479149118065834,0.0003,22896,-3.1451405100524426,0.02503590378910303
928,357.43225,0.0,100.0,71,1301,92800,0.02593681775033474,-157.16534328460693,6.0427548587322235,0.0003,22992,0.5526929944753647,0.024829796515405178
932,356.39673,0.0,100.0,71,1307,93200,0.025939736515283585,-157.6333532333374,5.1328844130039215,0.0003,23104,0.7982964245602489,0.024736186023801565
936,354.6939,0.0,100.0,71,1314,93600,0.02593984454870224,-157.3826265335083,5.061486795544624,0.0003,23200,-1.8093614224344492,0.02472912287339568
940,355.00116,0.0,100.0,71,1319,94000,0.02594815567135811,-157.9990701675415,5.715472936630249,0.0003,23296,0.9301634766161442,0.024572625057771802
944,354.89093,0.0,100.0,71,1325,94400,0.02595183067023754,-157.97614002227783,5.257824629545212,0.0003,23392,0.11176848597824574,0.02440377394668758
948,355.7185,0.0,100.0,71,1331,94800,0.025956908240914345,-158.16652488708496,6.053041368722916,0.0003,23504,-0.9458476584404707,0.02426827815361321
952,354.35144,0.0,100.0,71,1336,95200,0.025956155732274055,-158.323748588562,5.744515150785446,0.0003,23600,-1.4312377702444792,0.024139364366419613
956,353.34796,0.0,100.0,71,1342,95600,0.02596060372889042,-158.7509250640869,6.174707472324371,0.0003,23696,0.024857942014932632,0.0243426701053977
960,354.04532,0.0,100.0,71,1348,96000,0.02595951221883297,-158.82868766784668,6.10340291261673,0.0003,23792,-1.0285140499472618,0.02430108340922743
964,353.7865,0.0,100.0,71,1354,96400,0.02596178464591503,-159.6507453918457,5.150476232171059,0.0003,23904,-0.6234178654849529,0.02428892150055617
968,354.6117,0.0,100.0,71,1360,96800,0.02595905400812626,-159.827410697937,5.91863776743412,0.0003,24000,0.07544722780585289,0.024223387939855456
972,354.25122,0.0,100.0,71,1365,97200,0.025960544124245644,-159.30794048309326,5.7416196167469025,0.0003,24096,1.4818759858608246,0.024220720399171114
976,354.87024,0.0,100.0,71,1371,97600,0.02596450038254261,-160.132248878479,6.353432267904282,0.0003,24192,-0.9949022587388754,0.024190004914999008
980,355.921,0.0,100.0,71,1378,98000,0.02596581168472767,-160.33304405212402,5.087028190493584,0.0003,24304,-0.5582593269646168,0.024082408752292395
984,354.98392,0.0,100.0,71,1384,98400,0.0259744580835104,-160.18360996246338,5.6975138783454895,0.0003,24400,0.7917828261852264,0.023911109194159508
988,354.54837,0.0,100.0,71,1390,98800,0.02597610466182232,-160.64017963409424,6.06813257932663,0.0003,24496,0.9897760674357414,0.023881273809820414
992,354.6392,0.0,100.0,71,1396,99200,0.02598111890256405,-161.31223011016846,5.798950016498566,0.0003,24592,-1.2583909071981907,0.023947073030285537
996,354.9728,0.0,100.0,70,1402,99600,0.025976963341236115,-161.15862846374512,6.0068778693675995,0.0003,24704,0.5928640104830265,0.02378204360138625
1000,354.6791,0.0,100.0,70,1408,100000,0.025978442281484604,-161.66907119750977,5.087952360510826,0.0003,24800,-1.3178239353001118,0.02372853923588991
1004,354.94437,0.0,100.0,70,1414,100400,0.025979286059737206,-161.82254886627197,5.784873276948929,0.0003,24896,0.46879841573536396,0.023773955530487
1008,356.90692,0.0,100.0,70,1420,100800,0.025982733815908432,-161.46894550323486,5.2863772213459015,0.0003,24992,-0.09773210436105728,0.02383198228199035
1012,356.92856,0.0,100.0,70,1426,101200,0.02598782628774643,-161.89112758636475,5.152959227561951,0.0003,25104,0.27368099987506866,0.023812724626623094
1016,358.47763,0.0,100.0,70,1432,101600,0.02599336765706539,-162.25839233398438,6.33608341217041,0.0003,25200,-0.31160780787467957,0.023961717495694757
1020,357.83804,0.0,100.0,70,1438,102000,0.02598969079554081,-162.6027011871338,5.056943967938423,0.0003,25296,1.8623580746352673,0.02393157547339797
1024,359.9675,0.0,100.0,70,1444,102400,0.025993237271904945,-162.87523460388184,7.211640417575836,0.0003,25392,0.6719803549349308,0.023905303445644677
1028,359.63278,0.0,100.0,70,1451,102800,0.026000287383794785,-163.20459175109863,5.328638017177582,0.0003,25504,0.3817049711942673,0.02390820172149688
1032,360.77902,0.0,100.0,70,1457,103200,0.026001663878560066,-163.66162014007568,5.279456481337547,0.0003,25600,1.3142478354275227,0.02393408282659948
1036,362.796,0.0,100.0,70,1462,103600,0.02600817196071148,-163.78563785552979,5.799041718244553,0.0003,25696,-2.4267053864896297,0.024112967192195356
1040,363.77887,0.01,100.0,70,1468,104000,0.026009922847151756,-164.0347194671631,5.803210586309433,0.0003,25792,-0.3641332555562258,0.024219672894105315
1044,363.98676,0.01,100.0,70,1475,104400,0.026015223935246468,-163.75502967834473,5.194068193435669,0.0003,25904,-0.8711991086602211,0.024144859169609845
1048,363.4844,0.01,100.0,70,1481,104800,0.026024742051959038,-164.25042915344238,5.574174761772156,0.0003,26000,-0.11584734916687012,0.024193512508645654
1052,365.99344,0.01,100.0,70,1488,105200,0.026030536741018295,-164.85929489135742,5.733261048793793,0.0003,26096,0.17057617381215096,0.02425198582932353
1056,366.83542,0.01,100.0,70,1495,105600,0.02602684125304222,-164.8530445098877,5.13693568110466,0.0003,26192,0.8730315566062927,0.024209780734963715
1060,365.81625,0.01,100.0,70,1501,106000,0.02602459117770195,-165.64949131011963,4.735410124063492,0.0003,26304,0.2517911456525326,0.024257845827378333
1064,366.88095,0.01,100.0,70,1507,106400,0.026031214743852615,-165.8170566558838,5.269495323300362,0.0003,26400,0.09132560901343822,0.024292419897392392
1068,366.14395,0.01,100.0,70,1512,106800,0.02602938748896122,-165.64445686340332,4.866229981184006,0.0003,26496,1.4229849837720394,0.024207468261010945
1072,366.36996,0.01,100.0,70,1518,107200,0.026034297421574593,-165.4126377105713,5.378548130393028,0.0003,26592,-1.9664601534605026,0.024227348039858043
1076,366.04852,0.01,100.0,70,1524,107600,0.026044314727187157,-166.16108417510986,4.4287755489349365,0.0003,26704,-0.4279531049542129,0.02420649433042854
1080,365.66116,0.01,100.0,70,1530,108000,0.02604931965470314,-165.99460315704346,4.807079926133156,0.0003,26800,1.621614657342434,0.024220641003921628
1084,367.19168,0.01,100.0,70,1536,108400,0.026051165536046028,-166.91797924041748,4.620395258069038,0.0003,26896,-0.9861198365688324,0.02414257824420929
1088,366.86063,0.01,100.0,70,1541,108800,0.02604907564818859,-166.99685192108154,5.086063325405121,0.0003,26992,0.848307091742754,0.024008117150515318
1092,366.50488,0.01,100.0,70,1547,109200,0.026058858260512352,-166.782883644104,4.808336079120636,0.0003,27104,0.23828342463821173,0.024082287796773016
1096,365.4863,0.01,100.0,70,1553,109600,0.026060771197080612,-167.29130840301514,5.3474224507808685,0.0003,27200,0.16669171955436468,0.024060238152742386
1100,363.3044,0.01,100.0,70,1558,110000,0.02605910412967205,-167.6030330657959,4.653383314609528,0.0003,27296,0.9468978177756071,0.02402886387426406
1104,362.60254,0.01,100.0,70,1563,110400,0.026069505140185356,-167.57467555999756,4.829852730035782,0.0003,27392,1.0828742422163486,0.024082877207547426
1108,363.0876,0.01,100.0,70,1570,110800,0.026069600135087967,-168.12084102630615,4.825128987431526,0.0003,27504,0.5373853910714388,0.02408515301067382
1112,362.58258,0.01,100.0,70,1576,111200,0.02607693523168564,-168.24634552001953,4.9684633910655975,0.0003,27600,0.7893232982605696,0.02410486526787281
1116,362.2154,0.01,100.0,70,1583,111600,0.02607702650129795,-168.2217311859131,4.521885797381401,0.0003,27696,0.13181781396269798,0.023944126325659454
1120,363.1649,0.01,100.0,70,1588,112000,0.0260769110172987,-168.80428409576416,4.485133036971092,0.0003,27792,1.0629408359527588,0.023943193606100976
1124,361.81427,0.01,100.0,70,1595,112400,0.02608279325067997,-169.06401348114014,5.244162857532501,0.0003,27904,-3.078046014532447,0.02378472895361483
1128,361.89417,0.01,100.0,70,1601,112800,0.026082392781972885,-168.84549808502197,4.76347117125988,0.0003,28000,1.999965313822031,0.023636650061234832
1132,361.6051,0.01,100.0,70,1607,113200,0.02608180232346058,-169.49099731445312,4.7384151220321655,0.0003,28096,-0.4587807357311249,0.02349116955883801
1136,361.80774,0.01,100.0,70,1613,113600,0.026090111583471298,-169.25149631500244,5.351244583725929,0.0003,28192,-1.0066890735179186,0.023525273893028498
1140,361.02844,0.0,100.0,70,1619,114000,0.026096640154719353,-170.13993453979492,4.7153250426054,0.0003,28304,1.336295336484909,0.02354224445298314
1144,359.4403,0.0,100.0,70,1625,114400,0.026098232716321945,-169.99646091461182,4.400750666856766,0.0003,28400,-0.6639434304088354,0.023488030768930912
1148,359.67508,0.0,100.0,70,1631,114800,0.026096660643815994,-170.14551830291748,3.983654484152794,0.0003,28496,-0.5639434112235904,0.02356299478560686
1152,358.67117,0.0,100.0,70,1637,115200,0.026100723072886467,-170.30588912963867,4.271653100848198,0.0003,28592,2.0929294005036354,0.023543925140984356
1156,359.04028,0.0,100.0,70,1643,115600,0.026110267266631126,-171.0224323272705,4.527209058403969,0.0003,28704,-0.4835822954773903,0.02368806884624064
1160,359.90466,0.0,100.0,70,1650,116000,0.026109449565410614,-170.53008842468262,4.568853750824928,0.0003,28800,-2.8535885959863663,0.023527982062660158
1164,359.19666,0.0,100.0,70,1655,116400,0.026112165302038193,-170.96424102783203,4.734210878610611,0.0003,28896,-1.870195183902979,0.023387464694678783
1168,360.3083,0.0,100.0,70,1661,116800,0.026116423308849335,-171.15278911590576,3.9335159212350845,0.0003,28992,-0.9247918985784054,0.02318586246110499
1172,361.20035,0.0,100.0,70,1667,117200,0.02611842378973961,-171.03052520751953,4.730734497308731,0.0003,29104,-0.3326440714299679,0.023059484781697392
1176,362.30933,0.0,100.0,70,1673,117600,0.026119766756892204,-171.47461700439453,4.870540201663971,0.0003,29200,0.5265952423214912,0.022926928126253188
1180,362.20468,0.0,100.0,70,1679,118000,0.026121729984879494,-171.41871547698975,4.282551065087318,0.0003,29296,0.12949392572045326,0.022875050781294703
1184,361.8701,0.0,100.0,70,1685,118400,0.026122694835066795,-171.81180381774902,4.693479359149933,0.0003,29392,-1.222908429801464,0.022741559194400907
1188,362.00986,0.0,100.0,70,1692,118800,0.026120979338884354,-171.8483362197876,5.232320681214333,0.0003,29504,-3.047689032740891,0.022637763526290655
1192,361.0617,0.0,100.0,70,1698,119200,0.026124587282538414,-172.18645763397217,4.756451264023781,0.0003,29600,-2.122608859091997,0.022459010710008442
1196,361.35214,0.0,100.0,70,1703,119600,0.02613184042274952,-172.21670055389404,3.8079038560390472,0.0003,29696,-0.8708167262375355,0.022347280755639076
1200,362.8288,0.0,100.0,70,1709,120000,0.026127982884645462,-172.0178575515747,5.067793384194374,0.0003,29792,-1.0544988820329309,0.022057622438296676
1204,362.88977,0.0,100.0,70,1715,120400,0.02612410858273506,-172.8092441558838,3.4942585825920105,0.0003,29904,-0.22944647818803787,0.021818557754158974
1208,361.4485,0.0,100.0,70,1721,120800,0.026123935356736183,-172.61350536346436,4.529100731015205,0.0003,30000,-0.32355090975761414,0.02175088378135115
1212,361.70615,0.0,100.0,70,1726,121200,0.026122720912098885,-172.606689453125,4.3048146069049835,0.0003,30096,0.7914939969778061,0.021688600536435843
1216,361.0897,0.0,100.0,70,1732,121600,0.026125909760594368,-172.86521816253662,3.78645820915699,0.0003,30192,2.2756150141358376,0.021851870929822326
1220,360.15738,0.0,100.0,70,1739,122000,0.026131683960556984,-172.8391923904419,3.976345792412758,0.0003,30304,0.3879518322646618,0.02189101278781891
1224,360.19513,0.0,100.0,70,1744,122400,0.02612643875181675,-173.38754272460938,4.256506964564323,0.0003,30400,-1.7749409452080727,0.021843304741196334
1228,359.8192,0.0,100.0,70,1750,122800,0.026131924241781235,-173.49234199523926,4.959127992391586,0.0003,30496,-0.12130522355437279,0.02179155603516847
1232,359.20114,0.0,100.0,70,1756,123200,0.026129726320505142,-173.4365997314453,3.913487285375595,0.0003,30592,-0.18290095031261444,0.021751999738626182
1236,358.78833,0.0,100.0,70,1762,123600,0.026127701625227928,-173.60436344146729,3.598873794078827,0.0003,30704,1.0893400274217129,0.021721274475567043
1240,358.59375,0.0,100.0,70,1768,124000,0.02613416500389576,-173.69137859344482,3.781493842601776,0.0003,30800,-2.202236343175173,0.021883563487790525
1244,360.52808,0.0,100.0,70,1774,124400,0.026137566193938255,-173.96248626708984,5.041375786066055,0.0003,30896,0.2700164560228586,0.021669028094038367
1248,359.74423,0.0,100.0,70,1779,124800,0.026140565052628517,-173.8536252975464,3.7314677983522415,0.0003,30992,-1.5077579375356436,0.021555579616688192
1252,359.11673,0.0,100.0,70,1786,125200,0.02614361234009266,-173.72432136535645,3.905461400747299,0.0003,31104,-0.1544940723106265,0.021438670228235424
1256,357.97784,0.0,100.0,70,1792,125600,0.026147030293941498,-174.47621059417725,3.8513278514146805,0.0003,31200,-1.410143494606018,0.02136852336116135
1260,357.33218,0.0,100.0,70,1798,126000,0.02614312618970871,-174.767915725708,3.4664872735738754,0.0003,31296,1.6173229645937681,0.021262632682919502
1264,357.6398,0.0,100.0,70,1804,126400,0.026138002052903175,-174.52181148529053,3.3311406522989273,0.0003,31392,-0.8955111680552363,0.02112624398432672
1268,357.47653,0.0,100.0,70,1810,126800,0.026134900748729706,-174.80200386047363,3.052183762192726,0.0003,31504,0.9813197329640388,0.02103745483327657
1272,357.82086,0.0,100.0,70,1817,127200,0.026142384856939316,-174.6694564819336,4.7935929000377655,0.0003,31600,1.3649925906211138,0.021027001668699086
1276,357.02676,0.0,100.0,69,1823,127600,0.026140596717596054,-174.98167514801025,3.7578267008066177,0.0003,31696,-1.3347239457070827,0.020989025360904634
1280,356.46103,0.0,100.0,69,1829,128000,0.026143809780478477,-174.67262268066406,3.8500654101371765,0.0003,31792,-1.7511359993368387,0.021185369812883437
1284,356.46036,0.0,100.0,69,1836,128400,0.026149200275540352,-175.22042179107666,3.4392689615488052,0.0003,31904,-1.8113086000084877,0.02116641984321177
1288,356.66522,0.0,100.0,69,1842,128800,0.026153096929192543,-175.29669857025146,5.0202740132808685,0.0003,32000,-2.186755793169141,0.021145776263438165
1292,357.79755,0.0,100.0,69,1849,129200,0.02615552395582199,-174.93815517425537,4.10947048664093,0.0003,32096,-0.8585236379876733,0.021214956999756396
1296,357.5277,0.0,100.0,69,1854,129600,0.026157530024647713,-175.93514728546143,10.630672365427017,0.0003,32192,1.1350303255021572,0.021330146701075137
1300,358.058,0.0,100.0,69,1861,130000,0.02616226300597191,-176.1155881881714,4.7497266829013824,0.0003,32304,2.2677095625549555,0.021937709767371416
1304,357.5091,0.0,100.0,69,1866,130400,0.026173004880547523,-176.50617694854736,4.542293384671211,0.0003,32400,2.137774096801877,0.02227565413340926
1308,358.3875,0.0,100.0,69,1872,130800,0.026176301762461662,-176.9371852874756,4.059844255447388,0.0003,32496,1.110682301223278,0.022347829421050847
1312,358.30453,0.0,100.0,69,1878,131200,0.026173759251832962,-176.83088970184326,4.196435749530792,0.0003,32592,3.8394928574562073,0.022488599992357194
1316,358.74863,0.0,100.0,69,1885,131600,0.026181673631072044,-176.68793392181396,3.75767382979393,0.0003,32704,0.31816859357059,0.022523502935655415
1320,358.74036,0.0,100.0,69,1891,132000,0.02618461102247238,-177.08168506622314,3.310745030641556,0.0003,32800,2.0045976461842656,0.022526837419718504
1324,358.41086,0.0,100.0,69,1897,132400,0.026186799630522728,-177.0824499130249,3.76548869907856,0.0003,32896,-1.8199325259774923,0.022455750266090035
1328,358.90277,0.0,100.0,69,1903,132800,0.02618439309298992,-177.19563484191895,3.1607166528701782,0.0003,32992,-2.233231673017144,0.022229107562452555
1332,359.2721,0.0,100.0,69,1909,133200,0.026186687871813774,-177.14276027679443,3.1381597369909286,0.0003,33104,-1.525806742720306,0.021979273529723287
1336,359.4918,0.0,100.0,69,1915,133600,0.02618545852601528,-177.62454891204834,3.1861312985420227,0.0003,33200,-4.251612938474864,0.021654405631124973
1340,359.66226,0.0,100.0,69,1921,134000,0.026182210072875023,-177.14854526519775,4.036564081907272,0.0003,33296,-0.5283957049250603,0.021479748305864632
1344,358.48477,0.0,100.0,69,1927,134400,0.02618272975087166,-177.08008766174316,3.409008577466011,0.0003,33392,-0.4420518260449171,0.02141675283201039
1348,360.26102,0.0,100.0,69,1934,134800,0.026180727407336235,-177.16049480438232,3.249237298965454,0.0003,33504,0.13519414886832237,0.02134883392136544
1352,360.84207,0.0,100.0,69,1940,135200,0.026176083832979202,-177.47863578796387,3.39655140042305,0.0003,33600,1.1032544076442719,0.02120136597659439
1356,361.83594,0.0,100.0,69,1945,135600,0.026175161823630333,-177.54094982147217,3.014345705509186,0.0003,33696,1.0782246515154839,0.021311361342668533
1360,361.84207,0.0,100.0,69,1951,136000,0.026176419109106064,-177.78938579559326,3.1546839773654938,0.0003,33792,3.14340166375041,0.02140984102152288
1364,361.88565,0.0,100.0,69,1957,136400,0.02617652527987957,-177.71671199798584,3.403665840625763,0.0003,33904,1.2212010733783245,0.02148073259741068
1368,361.58612,0.0,100.0,69,1962,136800,0.0261827539652586,-178.39281272888184,3.174307346343994,0.0003,34000,0.6181232426315546,0.02168642240576446
1372,361.40552,0.0,100.0,69,1969,137200,0.026184257119894028,-178.10936164855957,3.152265265583992,0.0003,34096,1.9829897712916136,0.021655131597071886
1376,361.22836,0.0,100.0,69,1975,137600,0.026183413341641426,-178.09688568115234,4.078008815646172,0.0003,34192,-0.13156285881996155,0.021739165065810084
1380,362.0046,0.0,100.0,69,1981,138000,0.02618924155831337,-177.83633613586426,2.624726966023445,0.0003,34304,1.2338542193174362,0.021877537248656154
1384,361.98145,0.0,100.0,69,1987,138400,0.026192549616098404,-178.17382717132568,3.1705287247896194,0.0003,34400,-0.0393513860180974,0.02196359820663929
1388,362.06183,0.0,100.0,69,1994,138800,0.026193790137767792,-178.25350666046143,3.1176795214414597,0.0003,34496,-0.9348178431391716,0.021992454072460532
1392,361.44424,0.0,100.0,69,2000,139200,0.026200009509921074,-178.47488594055176,3.885027453303337,0.0003,34592,-0.3722584303468466,0.021955631556920707
1396,363.0661,0.0,100.0,69,2008,139600,0.026206646114587784,-178.25909328460693,3.0524840354919434,0.0003,34704,-0.11497985199093819,0.02206689678132534
1400,363.29886,0.0,100.0,69,2013,140000,0.02620593272149563,-178.42197513580322,3.227160766720772,0.0003,34800,2.0737331695854664,0.022037606337107718
1404,364.40356,0.0,100.0,69,2020,140400,0.02620689943432808,-178.61615085601807,2.9551232755184174,0.0003,34896,-0.07245568558573723,0.02188658365048468
1408,365.24557,0.0,100.0,69,2026,140800,0.026206208392977715,-178.5191354751587,3.225868135690689,0.0003,34992,-2.4382975473999977,0.02174241340253502
1412,362.5632,0.0,100.0,69,2032,141200,0.02620714157819748,-178.6011438369751,2.813270643353462,0.0003,35104,0.4825409157201648,0.021484082215465605
1416,362.50836,0.0,100.0,69,2038,141600,0.026215646415948868,-178.65282726287842,2.7547108232975006,0.0003,35200,-1.993812020868063,0.021608593175187707
1420,363.24915,0.0,100.0,69,2044,142000,0.02621685341000557,-178.7922248840332,3.4206761717796326,0.0003,35296,-0.07141088321805,0.02163197344634682
1424,363.1915,0.0,100.0,69,2049,142400,0.026214655488729477,-178.78295612335205,2.760281853377819,0.0003,35392,0.27030921913683414,0.02159263554494828
1428,363.26517,0.0,100.0,69,2055,142800,0.026220593601465225,-178.86023807525635,2.8987973034381866,0.0003,35504,0.4796778466552496,0.02159607782959938
1432,363.7726,0.0,100.0,69,2061,143200,0.026225442066788673,-178.73700428009033,3.0610574185848236,0.0003,35600,-3.057926043868065,0.02154903206974268
1436,363.15927,0.0,100.0,69,2066,143600,0.026224415749311447,-178.92164421081543,2.9652798771858215,0.0003,35696,-0.8269400633871555,0.02149956370703876
1440,363.1424,0.0,100.0,69,2072,144000,0.02622448280453682,-179.02796840667725,3.2657083719968796,0.0003,35792,-1.2851970978081226,0.021643774467520416
