time/episodes,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,train/std,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef
60,218.00508,0.0,100.0,81,73,6000,0.025560375303030014,-17.836828231811523,1.3903960175812244,0.0003,1296,-22.772552967071533,0.13414923567324877
64,217.8658,0.0,100.0,81,78,6400,0.025561949238181114,-19.22536826133728,1.799094058573246,0.0003,1392,-23.403260350227356,0.13031174521893263
68,216.3593,0.0,100.0,80,84,6800,0.02556636556982994,-19.999510765075684,1.7036603391170502,0.0003,1504,-23.058395266532898,0.12599107529968023
72,216.42827,0.0,100.0,80,89,7200,0.025569027289748192,-21.051510453224182,1.6900730654597282,0.0003,1600,-23.934808015823364,0.12243008660152555
76,216.65091,0.0,100.0,80,94,7600,0.025572646409273148,-22.05468738079071,1.8826783262193203,0.0003,1696,-23.684011220932007,0.11897590477019548
80,215.5552,0.0,100.0,80,99,8000,0.025575939565896988,-22.83438265323639,1.8189241960644722,0.0003,1792,-23.223398327827454,0.11563231004402041
84,212.92201,0.0,100.0,79,105,8400,0.02557883784174919,-24.136901021003723,1.8511487282812595,0.0003,1904,-24.843680262565613,0.11188852926716208
88,211.12477,0.0,100.0,79,110,8800,0.025581350550055504,-24.80446982383728,2.276209555566311,0.0003,2000,-24.025243997573853,0.10880965506657958
92,210.32361,0.0,100.0,79,115,9200,0.02558530494570732,-25.643207788467407,2.8675419092178345,0.0003,2096,-24.6896094083786,0.1057645482942462
96,209.89809,0.0,100.0,79,120,9600,0.025587590411305428,-26.69335412979126,2.509142093360424,0.0003,2192,-25.948798179626465,0.10281235305592418
100,209.64378,0.0,100.0,79,126,10000,0.025590436533093452,-27.550596117973328,2.8704547211527824,0.0003,2304,-25.28892493247986,0.09945312421768904
104,206.56622,0.0,100.0,78,131,10400,0.025591794401407242,-28.607747197151184,3.0567524060606956,0.0003,2400,-25.35932719707489,0.0967262708581984
108,204.5519,0.0,100.0,78,136,10800,0.02559504844248295,-29.54635226726532,3.309325374662876,0.0003,2496,-25.839598178863525,0.09408924588933587
112,202.18585,0.0,100.0,78,142,11200,0.025598319247364998,-30.66355049610138,3.007539816200733,0.0003,2592,-25.900826454162598,0.09153328044340014
116,204.01843,0.0,100.0,78,148,11600,0.025601061061024666,-31.69411075115204,3.446225881576538,0.0003,2704,-27.476938486099243,0.08859126036986709
120,203.05757,0.0,100.0,78,153,12000,0.025605227798223495,-32.64241826534271,3.0744833424687386,0.0003,2800,-25.24723994731903,0.08615990309044719
124,207.2345,0.0,100.0,78,158,12400,0.02560892142355442,-33.681926012039185,2.941529393196106,0.0003,2896,-26.3303279876709,0.0838300995528698
128,208.37892,0.0,100.0,78,163,12800,0.025610992684960365,-34.50321912765503,3.420210085809231,0.0003,2992,-25.316993355751038,0.08150959573686123
