success_terminal,grasp_without_lift,slipped_after_lift,grasp_loss,late_success_timing,stable_then_dropped,peak_height
False,False,False,False,-1,False,0.12435497343540192
False,True,False,True,-1,True,0.2101566195487976
False,True,False,True,-1,True,0.12935252487659454
False,False,False,False,-1,False,0.12435496598482132
False,False,False,False,-1,False,0.15468710660934448
True,False,False,True,83,True,0.37554454803466797
False,False,False,False,-1,False,0.12435498833656311
False,False,False,False,-1,False,0.12435495853424072
False,False,False,False,-1,False,0.12900090217590332
False,False,True,True,-1,True,0.41157710552215576
False,False,False,False,-1,False,0.12435496598482132
False,False,False,False,-1,False,0.12435497343540192
True,False,False,True,74,True,0.3894040286540985
False,False,False,False,-1,False,0.12435498088598251
False,False,False,False,-1,False,0.12435492873191833
False,True,False,True,-1,True,0.16245630383491516
False,False,False,False,-1,False,0.07076824456453323
False,False,False,False,-1,False,0.07076825946569443
False,True,False,True,-1,True,0.10396931320428848
False,False,False,False,-1,False,0.07079678773880005
False,False,False,False,-1,False,0.07076817750930786
False,True,False,True,-1,True,0.09381933510303497
False,False,False,False,-1,False,0.07076825201511383
False,False,False,False,-1,False,0.07076824456453323
False,False,False,False,-1,False,0.07076824456453323
False,False,False,False,-1,False,0.0788482055068016
False,True,False,True,-1,True,0.19486723840236664
False,False,False,False,-1,False,0.07076825201511383
False,False,False,False,-1,False,0.0791548416018486
True,False,False,True,83,True,0.3233150839805603
False,True,False,True,-1,True,0.14830751717090607
False,False,False,False,-1,False,0.07076817005872726
False,True,False,True,-1,True,0.07076818495988846
False,False,True,True,-1,True,0.34668341279029846
False,False,False,False,-1,False,0.07077290117740631
True,False,False,False,49,False,0.4816034138202667
False,False,False,False,-1,False,0.12214206904172897
True,False,False,True,59,True,0.2930926978588104
False,True,False,True,-1,True,0.21851906180381775
False,False,False,False,-1,False,0.12889520823955536
True,False,False,True,65,True,0.4025305509567261
False,False,False,False,-1,False,0.12214197963476181
False,False,False,False,-1,False,0.12214207649230957
False,False,False,False,-1,False,0.12214205414056778
False,False,False,False,-1,False,0.12214208394289017
False,False,True,True,-1,True,0.37036970257759094
False,False,False,False,-1,False,0.12214206904172897
False,False,False,False,-1,False,0.12214204668998718
False,False,False,False,-1,False,0.12214198708534241
False,False,False,False,-1,False,0.12214204668998718
True,False,False,True,83,True,0.32098570466041565
False,False,False,False,-1,False,0.1221470832824707
False,False,False,False,-1,False,0.12214206159114838
False,False,False,False,-1,False,0.1221420019865036
False,False,True,True,-1,True,0.3303796648979187
False,False,False,False,-1,False,0.12214205414056778
False,False,False,False,-1,False,0.1307297646999359
False,False,False,False,-1,False,0.13062036037445068
False,False,False,False,-1,False,0.13062025606632233
False,False,False,False,-1,False,0.15731678903102875
True,False,False,False,61,False,0.2850080132484436
False,False,False,False,-1,False,0.13083043694496155
False,True,False,True,-1,True,0.19674307107925415
False,False,False,False,-1,False,0.13062764704227448
False,True,False,True,-1,True,0.1738520711660385
False,False,False,False,-1,False,0.13062036037445068
False,False,True,True,-1,True,0.2869848310947418
False,False,False,False,-1,False,0.13062036037445068
False,False,False,False,-1,False,0.1306203305721283
False,False,False,False,-1,False,0.13062028586864471
True,False,False,True,48,True,0.4285861849784851
True,False,False,True,66,True,0.363610178232193
False,False,False,False,-1,False,0.1306203454732895
False,False,False,False,-1,False,0.1306322067975998
False,False,False,False,-1,False,0.13062037527561188
False,True,False,True,-1,True,0.1307789385318756
True,False,False,False,46,False,0.35286933183670044
False,False,True,True,-1,True,0.27637407183647156
False,True,False,True,-1,True,0.12501433491706848
False,True,False,True,-1,True,0.15986335277557373
False,False,True,True,-1,True,0.5056242346763611
False,True,False,True,-1,True,0.1250143200159073
