rollout/ep_rew_mean,time/total_timesteps,time/fps,reward/static_reward,reward/info_exist_reward,time/time_elapsed,rollout/success_rate,reward/grasp_reward,train/std,reward/approach_reward,rollout/ep_len_mean,reward/goal_reward,time/episodes,rollout/success_rate_once,train/n_updates,train/actor_loss,train/critic_loss,train/aux_weight,train/learning_rate,train/critic_aux_loss,train/actor_aux_loss,train/ent_coef_loss,train/actor_target_loss,train/critic_target_loss,train/target_weight,train/ent_coef
137.7912,800,360,0.0,0.2909999999999999,2,0.0,0.0,0.22313016653060913,2.4975722345635676,100.0,0.0,4,0.0,,,,,,,,,,,,
137.7912,800,360,,,2,0.0,,0.22313016653060913,,100.0,,8,,,,,,,,,,,,,
131.39357,1600,63,0.0,0.07799999999999999,25,0.0,0.0,0.2231115698814392,2.0971078251702844,100.0,0.0,12,0.0,128,64.12825864553452,61.95328414440155,100.0,0.0003,0.5068207127042115,0.5475066709332168,-12.638762871501967,0.1110483028460294,0.10754034563433379,100.0,0.19434880302287638
131.39357,1600,63,,,25,0.0,,0.2231115698814392,,100.0,,16,,,,,,,,,,,,,
131.1414,2400,62,0.0,0.07799999999999999,38,0.0,0.0,0.22298064827919006,2.4296787593242017,100.0,0.0,20,0.0,192,56.47463244199753,60.21449989080429,100.0,0.0003,0.5092362039722502,0.4970784643664956,-13.849896155297756,0.09093104535713792,0.0859943546820432,100.0,0.19104684656485915
131.1414,2400,62,,,38,0.0,,0.22298064827919006,,100.0,,24,,,,,,,,,,,,,
127.31639,3200,52,0.0,0.042,60,0.0,0.0,0.22271353006362915,2.245268070229921,100.0,0.0,28,0.0,320,50.627999782562256,61.24510997533798,100.0,0.0003,0.5367188369855285,0.46097690844908357,-13.563324056565762,0.07362714264309034,0.07122535910457373,100.0,0.18457156792283058
127.31639,3200,52,,,60,0.0,,0.22271353006362915,,100.0,,32,,,,,,,,,,,,,
127.80996,4000,54,0.0,0.153,73,0.0,0.0,0.22259515523910522,2.3366839320303248,100.0,0.0,36,0.0,384,45.0923872590065,58.38954484462738,100.0,0.0003,0.5156364277936518,0.41954530403018,-16.038141891360283,0.06811639195075259,0.06566007825313136,100.0,0.18114339793100953
127.80996,4000,54,,,73,0.0,,0.22259515523910522,,100.0,,40,,,,,,,,,,,,,
130.17873,4800,50,0.0,0.056999999999999995,95,0.0,0.0,0.22240298986434937,2.5498237038391034,100.0,0.0,44,0.0,512,35.740799486637115,54.1284841299057,100.0,0.0003,0.4669685149565339,0.33177292812615633,-17.48587514460087,0.07297181023750454,0.07157121086493134,100.0,0.17374192527495325
130.17873,4800,50,,,95,0.0,,0.22240298986434937,,100.0,,48,,,,,,,,,,,,,
129.38672,5600,51,0.0,0.03599999999999999,108,0.0,0.0,0.22231456637382507,1.8939291016729662,100.0,0.0,52,0.0,576,32.63476040959358,51.095495879650116,100.0,0.0003,0.43128806399181485,0.3026412888430059,-18.910781234502792,0.07836465816944838,0.07703131274320185,100.0,0.17009505443274975
129.38672,5600,51,,,108,0.0,,0.22231456637382507,,100.0,,56,,,,,,,,,,,,,
129.8786,6400,48,0.0,0.09,131,0.0,0.0,0.22212232649326324,2.2580616474411013,100.0,0.0,60,0.0,704,30.14008030295372,46.636472046375275,100.0,0.0003,0.392989635001868,0.29172653844580054,-18.607999339699745,0.07266585482284427,0.07141576637513936,100.0,0.16324353497475386
129.8786,6400,48,,,131,0.0,,0.22212232649326324,,100.0,,64,,,,,,,,,,,,,
130.42358,7200,46,0.0,0.11399999999999999,153,0.0,0.0,0.22194914519786835,2.6154769769748976,100.0,0.0,68,0.0,832,30.65991261601448,47.581792175769806,100.0,0.0003,0.3805481572635472,0.28496394003741443,-19.866864904761314,0.0956625200342387,0.09361859643831849,100.0,0.15665927273221314
130.42358,7200,46,,,153,0.0,,0.22194914519786835,,100.0,,72,,,,,,,,,,,,,
130.12714,8000,48,0.0,0.05099999999999999,166,0.0,0.0,0.22183862328529358,2.375967424037884,100.0,0.0,76,0.0,896,28.87802317738533,46.57851159572601,100.0,0.0003,0.36908183759078383,0.2709977028425783,-20.120147228240967,0.09668694902211428,0.0951903035165742,100.0,0.1535057001747191
130.12714,8000,48,,,166,0.0,,0.22183862328529358,,100.0,,80,,,,,,,,,,,,,
130.0279,8800,46,0.0,0.003,189,0.0,0.0,0.22166621685028076,2.6227278826315397,100.0,0.0,84,0.0,1024,27.338310688734055,45.989151537418365,100.0,0.0003,0.3651226880028844,0.26993552152998745,-21.027507215738297,0.092421819223091,0.09297320863697678,100.0,0.14730430534109473
130.0279,8800,46,,,189,0.0,,0.22166621685028076,,100.0,,88,,,,,,,,,,,,,
131.12767,9600,47,0.0,0.0,202,0.0,0.0,0.2215769737958908,2.6943537654071714,100.0,0.0,92,0.0,1088,26.081520706415176,45.2880619764328,100.0,0.0003,0.35468840785324574,0.25881260982714593,-21.188886016607285,0.09579692780971527,0.09688274469226599,100.0,0.14432473783381283
131.12767,9600,47,,,202,0.0,,0.2215769737958908,,100.0,,96,,,,,,,,,,,,,
130.28783,10400,46,0.0,0.024,224,0.0,0.0,0.22140534222126007,2.5186197635397263,100.0,0.0,100,0.0,1216,24.928858309984207,45.9192219376564,100.0,0.0003,0.3573879161849618,0.2552144906949252,-21.648766845464706,0.09754808677826077,0.10020091210026294,100.0,0.13858668319880962
130.28783,10400,46,,,224,0.0,,0.22140534222126007,,100.0,,104,,,,,,,,,,,,,
131.06636,11200,47,0.0,0.07799999999999999,237,0.0,0.0,0.22131575644016266,2.521455846670442,100.0,0.0,108,0.0,1280,24.908406615257263,45.691100001335144,100.0,0.0003,0.3528457242064178,0.2574954107403755,-22.181727677583694,0.10003090428654104,0.10263934498652816,100.0,0.13582471618428826
131.06636,11200,47,,,237,0.0,,0.22131575644016266,,100.0,,112,,,,,,,,,,,,,
131.28448,12000,46,0.0,0.07799999999999999,260,0.0,0.0,0.2211499959230423,2.1133904835364867,100.0,0.0,116,0.0,1408,21.96717658638954,43.41583472490311,100.0,0.0003,0.3351086573675275,0.24400337832048535,-22.588755697011948,0.09347665554378182,0.09767059131991118,100.0,0.1304714458528906
131.28448,12000,46,,,260,0.0,,0.2211499959230423,,100.0,,120,,,,,,,,,,,,,
131.84996,12800,46,0.0,0.08999999999999998,272,0.0,0.0,0.22106924653053284,2.4905003037683575,100.0,0.0,124,0.0,1472,20.94776064157486,43.17150574922562,100.0,0.0003,0.3342691846191883,0.24086172180250287,-22.594214498996735,0.09106633125338703,0.09623125765938312,100.0,0.12786678038537502
131.84996,12800,46,,,272,0.0,,0.22106924653053284,,100.0,,128,,,,,,,,,,,,,
