success_terminal,grasp_without_lift,slipped_after_lift,grasp_loss,late_success_timing,stable_then_dropped,peak_height
True,False,False,False,94,False,0.31923243403434753
False,False,False,False,-1,False,0.12435495853424072
False,True,False,True,-1,True,0.12435495853424072
False,True,False,True,-1,True,0.21825087070465088
False,False,False,False,-1,False,0.12852512300014496
False,False,False,False,-1,False,0.12435498088598251
False,False,False,False,-1,False,0.12446817755699158
False,False,False,False,-1,False,0.14532560110092163
False,False,True,True,-1,True,0.3414335548877716
True,False,False,True,65,True,0.39489975571632385
True,False,False,True,94,True,0.3461417555809021
False,False,True,False,-1,False,0.28970468044281006
False,False,False,False,-1,False,0.12435492873191833
False,False,False,False,-1,False,0.12672626972198486
False,False,True,True,-1,True,0.26851895451545715
False,True,False,False,-1,False,0.23576386272907257
False,False,False,False,-1,False,0.07078585773706436
False,True,False,True,-1,True,0.07771259546279907
False,False,False,False,-1,False,0.07076823711395264
False,False,False,False,-1,False,0.07076822221279144
False,False,False,False,-1,False,0.07076822966337204
False,True,False,True,-1,True,0.15284110605716705
False,False,False,False,-1,False,0.07076820731163025
True,False,False,False,66,False,0.32069605588912964
False,False,False,False,-1,False,0.07076823711395264
False,True,False,True,-1,True,0.16921363770961761
False,False,False,False,-1,False,0.07076822221279144
False,False,False,False,-1,False,0.07875383645296097
True,False,False,True,86,True,0.3275134861469269
False,False,False,False,-1,False,0.07076825201511383
False,True,False,False,-1,False,0.2372427135705948
False,False,True,True,-1,True,0.4266226887702942
False,False,False,False,-1,False,0.0713033378124237
False,False,False,False,-1,False,0.07076825201511383
False,False,False,False,-1,False,0.07612220197916031
True,False,False,True,74,True,0.4171420931816101
True,False,False,False,90,False,0.3580113351345062
False,True,False,False,-1,False,0.12746335566043854
False,True,False,False,-1,False,0.24630995094776154
True,False,False,False,59,False,0.3063843548297882
True,False,False,True,57,True,0.33721399307250977
True,False,False,False,81,False,0.36760401725769043
False,True,False,True,-1,True,0.14785365760326385
True,False,False,False,45,False,0.38582777976989746
True,False,False,False,48,False,0.4277268052101135
False,True,False,True,-1,True,0.24216370284557343
