time/episodes,reward/goal_reward,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,reward/info_exist_reward,time/fps,reward/grasp_reward,reward/static_reward,train/std,time/total_timesteps,rollout/success_rate,reward/approach_reward,train/aux_weight,train/actor_aux_loss,train/target_weight,train/n_updates,train/critic_aux_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_target_loss,train/ent_coef_loss,train/critic_target_loss,train/actor_loss
300,0.0,144.52011,100.0,675,0.12299999999999998,44,0.0,0.0,0.02643526904284954,30400,0.0,2.5259233194697903,98.0,0.17083938629366457,98.0,3712,0.25610555172897875,32.88579487800598,0.0003,0.07002383517101407,0.041833996307104826,-18.08569197356701,0.07750781229697168,-0.5923364460468292
304,,144.52011,100.0,675,,44,,,0.02643526904284954,30400,0.0,,,,,,,,,,,,,
308,0.0,143.77972,100.0,688,0.06599999999999999,45,0.0,0.0,0.02645258978009224,31200,0.0,2.3104393562575414,98.0,0.1713859704323113,98.0,3776,0.2530623944476247,32.55550730228424,0.0003,0.0687570049194619,0.04078210922307335,-18.254600450396538,0.07703694351948798,-0.975209217518568
312,,143.77972,100.0,688,,45,,,0.02645258978009224,31200,0.0,,,,,,,,,,,,,
316,0.0,143.37616,100.0,710,0.07499999999999998,45,0.0,0.0,0.026485580950975418,32000,0.0,2.6099814214507315,98.0,0.17392036248929799,98.0,3904,0.2577621091622859,32.99919539690018,0.0003,0.06627437833230942,0.038859665422933176,-17.95705220103264,0.07688115618657321,-1.5203691720962524
320,,143.37616,100.0,710,,45,,,0.026485580950975418,32000,0.0,,,,,,,,,,,,,
324,0.0,143.97113,100.0,733,0.11399999999999999,44,0.0,0.0,0.026518261060118675,32800,0.0,2.6280401919331045,98.0,0.17324667936190963,98.0,4032,0.2563316854648292,32.72398176789284,0.0003,0.06386105564888567,0.03958127199439332,-18.89266249537468,0.07507031213026494,-2.233056213706732
328,,143.97113,100.0,733,,44,,,0.026518261060118675,32800,0.0,,,,,,,,,,,,,
332,0.0,145.217,100.0,745,0.105,45,0.0,0.0,0.02653447352349758,33600,0.0,2.7427168759269325,98.0,0.16633750195614994,98.0,4096,0.25185689982026815,32.263480454683304,0.0003,0.0626578294322826,0.039027423394145444,-19.412787079811096,0.07524842920247465,-3.280521161854267
336,,145.217,100.0,745,,45,,,0.02653447352349758,33600,0.0,,,,,,,,,,,,,
