rollout/ep_len_mean,time/total_timesteps,train/std,rollout/ep_rew_mean,rollout/success_rate,time/episodes,time/fps,time/time_elapsed,reward/info_exist_reward,reward/grasp_reward,reward/approach_reward,rollout/success_rate_once,reward/goal_reward,reward/static_reward,train/aux_weight,train/target_weight,train/actor_target_loss,train/critic_aux_loss,train/critic_target_loss,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates,train/actor_aux_loss,train/ent_coef_loss,train/learning_rate
100.0,800,0.22313016653060913,137.7912,0.0,4,336,2,0.2909999999999999,0.0,2.4975722345635676,0.0,0.0,0.0,,,,,,,,,,,,
100.0,800,0.22313016653060913,137.7912,0.0,8,336,2,,,,,,,,,,,,,,,,,,
100.0,1600,0.22310581803321838,138.4235,0.0,12,63,25,0.087,0.0,2.727401413353423,0.0,0.0,0.0,100.0,100.0,0.10928726487327367,0.4531693458557129,0.10683777276426554,0.19436372094787657,58.63776844739914,56.61454898118973,128,0.4956625127233565,-13.012234377674758,0.0003
100.0,1600,0.22310581803321838,138.4235,0.0,16,63,25,,,,,,,,,,,,,,,,,,
100.0,2400,0.22297526895999908,137.38544,0.0,20,62,38,0.11699999999999999,0.0,2.6342671343131094,0.0,0.0,0.0,100.0,100.0,0.08964442939031869,0.45946667715907097,0.08559667621739209,0.19104168005287647,51.00742048025131,55.10454136133194,192,0.4437212161719799,-13.489186750724912,0.0003
100.0,2400,0.22297526895999908,137.38544,0.0,24,62,38,,,,,,,,,,,,,,,,,,
100.0,3200,0.2227138876914978,135.79346,0.0,28,52,60,0.111,0.0,2.263429760764918,0.0,0.0,0.0,100.0,100.0,0.07457994652213529,0.4529182957485318,0.07274697039974853,0.18461877736262977,43.43094152212143,53.10146677494049,320,0.38906862400472164,-13.536448173224926,0.0003
100.0,3200,0.2227138876914978,135.79346,0.0,32,52,60,,,,,,,,,,,,,,,,,,
100.0,4000,0.22258228063583374,133.87442,0.0,36,54,73,0.07799999999999999,0.0,2.348576333742189,0.0,0.0,0.0,100.0,100.0,0.06581578456098214,0.45479110116139054,0.0634061562595889,0.18127021752297878,40.38338589668274,52.121105909347534,384,0.37328081019222736,-14.799020998179913,0.0003
100.0,4000,0.22258228063583374,133.87442,0.0,40,54,73,,,,,,,,,,,,,,,,,,
100.0,4800,0.222369983792305,134.96574,0.0,44,50,95,0.03599999999999999,0.0,2.6258678478206146,0.0,0.0,0.0,100.0,100.0,0.06863898516166955,0.4433743949048221,0.06599872250808403,0.1740832517389208,33.84945949912071,51.23290753364563,512,0.3167339186184108,-16.682835265994072,0.0003
100.0,4800,0.222369983792305,134.96574,0.0,48,50,95,,,,,,,,,,,,,,,,,,
100.0,5600,0.22226716578006744,133.41368,0.0,52,51,108,0.03599999999999999,0.0,2.2110197680448374,0.0,0.0,0.0,100.0,100.0,0.07226063794223592,0.43164730397984385,0.06960739713395014,0.17050513229332864,31.851071655750275,50.38545823097229,576,0.3003359199501574,-18.27426815032959,0.0003
100.0,5600,0.22226716578006744,133.41368,0.0,56,51,108,,,,,,,,,,,,,,,,,,
100.0,6400,0.22206583619117737,134.5419,0.0,60,48,131,0.018000000000000002,0.0,2.4245743410431806,0.0,0.0,0.0,100.0,100.0,0.06708304717903957,0.38055685767903924,0.06581366341561079,0.16367882047779858,26.966629654169083,44.84029895067215,704,0.26535413414239883,-18.081837847828865,0.0003
100.0,6400,0.22206583619117737,134.5419,0.0,64,48,131,,,,,,,,,,,,,,,,,,
100.0,7200,0.22188106179237366,135.05026,0.0,68,46,153,0.15,0.0,2.624780375204359,0.0,0.0,0.0,100.0,100.0,0.09153926372528076,0.36203508730977774,0.09037441329564899,0.1570983692072332,27.65271869301796,45.3979275226593,832,0.2592913268599659,-19.471023097634315,0.0003
100.0,7200,0.22188106179237366,135.05026,0.0,72,46,153,,,,,,,,,,,,,,,,,,
100.0,8000,0.22178606688976288,134.58418,0.0,76,48,166,0.087,0.0,2.456013662288523,0.0,0.0,0.0,100.0,100.0,0.09458686911966652,0.3486047345213592,0.09460648952517658,0.15394262480549514,26.58150565624237,44.473620533943176,896,0.2507995169144124,-19.979916840791702,0.0003
100.0,8000,0.22178606688976288,134.58418,0.0,80,48,166,,,,,,,,,,,,,,,,,,
100.0,8800,0.22161896526813507,134.74673,0.0,84,46,188,0.033,0.0,2.6717560907607263,0.0,0.0,0.0,100.0,100.0,0.09180542232934386,0.34474098356440663,0.09243515750858933,0.14764588861726224,24.97512474656105,43.90995246171951,1024,0.2483974911738187,-20.980104371905327,0.0003
100.0,8800,0.22161896526813507,134.74673,0.0,88,46,188,,,,,,,,,,,,,,,,,,
100.0,9600,0.22153937816619873,134.65868,0.0,92,47,202,0.07499999999999998,0.0,2.186518734213371,0.0,0.0,0.0,100.0,100.0,0.09431655739899725,0.3374997624196112,0.09571987914387137,0.1446187011897564,24.349222600460052,43.452492475509644,1088,0.24477645638398826,-21.26085601747036,0.0003
100.0,9600,0.22153937816619873,134.65868,0.0,96,47,202,,,,,,,,,,,,,,,,,,
100.0,10400,0.2213829755783081,133.97266,0.0,100,46,224,0.102,0.0,2.5823410128222353,0.0,0.0,0.0,100.0,100.0,0.09794646501541138,0.33428932493552566,0.1007308466359973,0.13874292117543519,23.127403169870377,43.65202975273132,1216,0.23928534262813628,-21.989108309149742,0.0003
100.0,10400,0.2213829755783081,133.97266,0.0,104,46,224,,,,,,,,,,,,,,,,,,
100.0,11200,0.22131317853927612,133.43068,0.0,108,47,237,0.03899999999999999,0.0,2.7895020980183216,0.0,0.0,0.0,100.0,100.0,0.09872330422513187,0.33106766641139984,0.10296245757490396,0.1359125184826553,22.576841861009598,43.5559156537056,1280,0.23819015617482364,-22.38069050014019,0.0003
100.0,11200,0.22131317853927612,133.43068,0.0,112,47,237,,,,,,,,,,,,,,,,,,
100.0,12000,0.22116167843341827,134.09355,0.0,116,46,259,0.09899999999999999,0.0,2.331891215743555,0.0,0.0,0.0,100.0,100.0,0.09293192578479648,0.32652197778224945,0.09959622984752059,0.13046996644698083,20.1561698615551,42.72447806596756,1408,0.2295303256250918,-22.84819796681404,0.0003
100.0,12000,0.22116167843341827,134.09355,0.0,120,46,259,,,,,,,,,,,,,,,,,,
