train/std,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,time/total_timesteps,train/actor_target_loss,train/ent_coef,train/critic_loss,train/critic_aux_loss,train/target_weight,train/learning_rate,train/aux_weight,train/n_updates,train/critic_target_loss,train/actor_loss,train/ent_coef_loss,train/actor_aux_loss
0.025476466864347458,273.85443,0.0,100.0,4,404,1,800,,,,,,,,,,,,
0.025476466864347458,273.85443,0.0,100.0,8,403,1,800,,,,,,,,,,,,
0.025510987266898155,266.34094,0.0,100.0,12,165,9,1600,0.09571268386207521,0.20175845851190388,43.54966992139816,0.32351264730095863,100.0,0.0003,100.0,128,0.10582131543196738,46.42212122678757,-8.572534155100584,0.38672497868537903
0.025510987266898155,266.34094,0.0,100.0,16,165,9,1600,,,,,,,,,,,,
0.02552693523466587,252.60088,0.0,100.0,20,166,14,2400,0.09732429019641131,0.19827747414819896,46.226741790771484,0.354687986895442,100.0,0.0003,100.0,192,0.10321026167366654,46.666597962379456,-10.800036415457726,0.39572878414765
0.02552693523466587,252.60088,0.0,100.0,24,166,14,2400,,,,,,,,,,,,
0.02555684559047222,249.72572,0.0,100.0,28,144,22,3200,0.1032926607877016,0.1906517199240625,48.8287171125412,0.377898926846683,100.0,0.0003,100.0,320,0.10586921498179436,44.77260595560074,-11.452822275459766,0.3792244507931173
0.02555684559047222,249.72572,0.0,100.0,32,144,22,3200,,,,,,,,,,,,
0.025572411715984344,243.0433,0.0,100.0,36,149,26,4000,0.10783303796779364,0.18693144782446325,49.05671340227127,0.3796759289689362,100.0,0.0003,100.0,384,0.10792411863803864,44.395014464855194,-11.425706654787064,0.37586991349235177
0.025572411715984344,243.0433,0.0,100.0,40,149,26,4000,,,,,,,,,,,,
0.02560366876423359,239.98442,0.0,100.0,44,140,34,4800,0.10873602330684662,0.1797577270772308,48.97207933664322,0.3758382950909436,100.0,0.0003,100.0,512,0.11089753673877567,41.35491359233856,-12.52364967763424,0.35670098243281245
0.02560366876423359,239.98442,0.0,100.0,48,140,34,4800,,,,,,,,,,,,
0.025618139654397964,231.0745,0.0,100.0,52,144,38,5600,0.10122161894105375,0.17622513277456164,48.671294927597046,0.3799557969905436,100.0,0.0003,100.0,576,0.10385087470058352,39.61541324853897,-12.15333342552185,0.3515012222342193
0.025618139654397964,231.0745,0.0,100.0,56,144,38,5600,,,,,,,,,,,,
0.025649262592196465,230.00546,0.0,100.0,60,138,46,6400,0.10270576050970703,0.16949757188558578,48.6426819562912,0.37823222624138,100.0,0.0003,100.0,704,0.10489911760669202,37.65434664487839,-13.01763091981411,0.3426597500219941
0.025649262592196465,230.00546,0.0,100.0,64,138,46,6400,,,,,,,,,,,,
0.025678806006908417,229.50098,0.0,100.0,68,134,53,7200,0.10149870929308236,0.16309524653479457,48.95640230178833,0.38255406357347965,100.0,0.0003,100.0,832,0.10316627321299165,35.692787408828735,-12.568998709321022,0.3352633696049452
0.025678806006908417,229.50098,0.0,100.0,72,134,53,7200,,,,,,,,,,,,
0.02569565735757351,229.07608,0.0,100.0,76,136,58,8000,0.1014097819570452,0.16011296352371573,47.26446461677551,0.3657830795273185,100.0,0.0003,100.0,896,0.1024231540504843,33.589853167533875,-12.43434152007103,0.32001678505912423
0.02569565735757351,229.07608,0.0,100.0,80,136,58,8000,,,,,,,,,,,,
0.025727996602654457,227.91397,0.0,100.0,84,133,66,8800,0.09748837968800217,0.15439658821560442,45.94948768615723,0.35581655288115144,100.0,0.0003,100.0,1024,0.0989513995591551,30.474647849798203,-12.590223774313927,0.30439602630212903
0.025727996602654457,227.91397,0.0,100.0,88,133,66,8800,,,,,,,,,,,,
0.025742921978235245,225.41902,0.0,100.0,92,134,71,9600,0.1006257077679038,0.15159313031472266,46.71077251434326,0.3596813203766942,100.0,0.0003,100.0,1088,0.10229925345629454,29.954808086156845,-12.580091506242752,0.30188890313729644
0.025742921978235245,225.41902,0.0,100.0,96,134,71,9600,,,,,,,,,,,,
0.025772325694561005,220.56712,0.0,100.0,100,130,79,10400,0.10349546524230391,0.14612813526764512,47.963318943977356,0.36849799705669284,100.0,0.0003,100.0,1216,0.10506262979470193,30.03533485531807,-12.862783014774323,0.310259610414505
0.025772325694561005,220.56712,0.0,100.0,104,130,79,10400,,,,,,,,,,,,
0.02578899823129177,218.21896,0.0,100.0,108,132,84,11200,0.10231548082083464,0.14350831671617925,47.659592390060425,0.36607775604352355,100.0,0.0003,100.0,1280,0.1040104009443894,29.02638280391693,-12.991566628217697,0.3072861060500145
0.02578899823129177,218.21896,0.0,100.0,112,132,84,11200,,,,,,,,,,,,
0.025823412463068962,217.75238,0.0,100.0,116,130,91,12000,0.10017196752596647,0.1382006318308413,47.30936127901077,0.363296952098608,100.0,0.0003,100.0,1408,0.10178806143812835,26.778141111135483,-13.73311097919941,0.2993010673671961
0.025823412463068962,217.75238,0.0,100.0,120,130,91,12000,,,,,,,,,,,,
0.02583899348974228,212.12201,0.0,100.0,124,131,96,12800,0.09715973841957748,0.13563661416992545,46.681751012802124,0.3600442772731185,100.0,0.0003,100.0,1472,0.09907765011303127,25.86733517050743,-13.033857390284538,0.29775968566536903
0.02583899348974228,212.12201,0.0,100.0,128,131,96,12800,,,,,,,,,,,,
0.025872189551591873,209.25476,0.0,100.0,132,130,104,13600,0.09817231714259833,0.13082749326713383,46.4088259935379,0.3561577065847814,100.0,0.0003,100.0,1600,0.09999035252258182,24.262889981269836,-13.962577477097511,0.29173408495262265
0.025872189551591873,209.25476,0.0,100.0,136,130,104,13600,,,,,,,,,,,,
0.02590494230389595,208.15825,0.0,100.0,140,128,111,14400,0.09716680110432208,0.1260209250031039,46.72800922393799,0.35938869044184685,100.0,0.0003,100.0,1728,0.09913585125468671,23.99678573012352,-13.60445912182331,0.29975753277540207
0.02590494230389595,208.15825,0.0,100.0,144,128,111,14400,,,,,,,,,,,,
0.025921443477272987,210.4415,0.0,100.0,148,129,117,15200,0.10110988595988601,0.1237155277049169,46.65371072292328,0.3544154861010611,100.0,0.0003,100.0,1792,0.10292692203074694,23.459522277116776,-14.18019063770771,0.29606173653155565
0.025921443477272987,210.4415,0.0,100.0,152,129,117,15200,,,,,,,,,,,,
0.0259543489664793,209.74602,0.0,100.0,156,127,125,16000,0.1018940428039059,0.11925420339684933,47.6360097527504,0.36209770245477557,100.0,0.0003,100.0,1920,0.10384094715118408,23.113208919763565,-13.90873721241951,0.30087729822844267
0.0259543489664793,209.74602,0.0,100.0,160,127,125,16000,,,,,,,,,,,,
0.025970611721277237,208.74077,0.0,100.0,164,128,130,16800,0.09855957399122417,0.11712153861299157,46.85859948396683,0.3578790104947984,100.0,0.0003,100.0,1984,0.10083745105657727,21.635317236185074,-14.44972936809063,0.2953752400353551
0.025970611721277237,208.74077,0.0,100.0,168,128,130,16800,,,,,,,,,,,,
0.0260030385106802,206.84393,0.0,100.0,172,127,138,17600,0.10037388419732451,0.11291717970743775,46.83917224407196,0.3545494396239519,100.0,0.0003,100.0,2112,0.1029787746956572,20.43593743443489,-14.150143325328827,0.2917114640586078
0.0260030385106802,206.84393,0.0,100.0,176,127,138,17600,,,,,,,,,,,,
0.026019878685474396,211.32533,0.0,100.0,180,127,143,18400,0.10079928848426789,0.11086546024307609,46.999576687812805,0.3539448739029467,100.0,0.0003,100.0,2176,0.10359409335069358,20.196562319993973,-14.7614955753088,0.29471801733598113
0.026019878685474396,211.32533,0.0,100.0,184,127,143,18400,,,,,,,,,,,,
0.02605278603732586,211.66595,0.0,100.0,188,126,151,19200,0.1011932851979509,0.1068864882690832,46.559783577919006,0.3493205839768052,100.0,0.0003,100.0,2304,0.10475440695881844,18.516093283891678,-14.961862057447433,0.2894043899141252
0.02605278603732586,211.66595,0.0,100.0,192,126,151,19200,,,,,,,,,,,,
0.026083258911967278,214.99352,0.0,100.0,196,125,159,20000,0.10448166041169316,0.10288176126778126,47.07277709245682,0.34973934944719076,100.0,0.0003,100.0,2432,0.10833294480107725,17.94112318754196,-14.288730561733246,0.28920497512444854
0.026083258911967278,214.99352,0.0,100.0,200,125,159,20000,,,,,,,,,,,,
0.026098674163222313,212.85147,0.0,100.0,204,126,164,20800,0.10531683219596744,0.10102009505499154,46.04620772600174,0.3476540483534336,98.0,0.0003,98.0,2496,0.10919376369565725,16.290029764175415,-15.527888655662537,0.2855564553756267
0.026098674163222313,212.85147,0.0,100.0,208,126,164,20800,,,,,,,,,,,,
0.026128122583031654,211.27483,0.0,100.0,212,125,171,21600,0.10521856369450688,0.0973558914847672,46.82860743999481,0.35427343659102917,98.0,0.0003,98.0,2624,0.10898043226916343,16.258702963590622,-14.50411969423294,0.29491495434194803
0.026128122583031654,211.27483,0.0,100.0,216,125,171,21600,,,,,,,,,,,,
0.026145007461309433,212.38586,0.0,100.0,220,126,177,22400,0.10713937832042575,0.09566619258839637,47.03650552034378,0.3535326295532286,98.0,0.0003,98.0,2688,0.11127353634219617,16.373989194631577,-14.50401520729065,0.2985166613943875
0.026145007461309433,212.38586,0.0,100.0,224,126,177,22400,,,,,,,,,,,,
0.026177164167165756,215.92346,0.0,100.0,228,125,184,23200,0.10510393127333373,0.09236753534059972,46.683031141757965,0.3504739501513541,98.0,0.0003,98.0,2816,0.11003099859226495,14.26671402156353,-15.213024780154228,0.2905389457009733
0.026177164167165756,215.92346,0.0,100.0,232,125,184,23200,,,,,,,,,,,,
0.02619316428899765,216.39069,0.0,100.0,236,126,189,24000,0.10497361444868147,0.0907202169764787,46.79471957683563,0.3516230722889304,98.0,0.0003,98.0,2880,0.10951866686809808,14.408181220293045,-14.66976772248745,0.2954574888572097
0.02619316428899765,216.39069,0.0,100.0,240,126,189,24000,,,,,,,,,,,,
0.02622723951935768,215.01073,0.0,100.0,244,125,197,24800,0.1049581104889512,0.08755393733736128,46.74596053361893,0.3501180042512715,98.0,0.0003,98.0,3008,0.10946989536751062,12.550726801156998,-16.175413608551025,0.28681218437850475
0.02622723951935768,215.01073,0.0,100.0,248,125,197,24800,,,,,,,,,,,,
0.026243533939123154,215.06808,0.0,100.0,252,126,202,25600,0.1078503510216251,0.08593072567600757,47.59910428524017,0.3552597286179662,98.0,0.0003,98.0,3072,0.11255415971390903,13.316597998142242,-15.338614255189896,0.2952054124325514
0.026243533939123154,215.06808,0.0,100.0,256,126,202,25600,,,,,,,,,,,,
0.02627735398709774,217.19127,0.0,100.0,260,125,209,26400,0.10667483636643738,0.08295990212354809,47.46008366346359,0.3532460452988744,98.0,0.0003,98.0,3200,0.11173232272267342,11.697292655706406,-15.198833391070366,0.2889135852456093
0.02627735398709774,217.19127,0.0,100.0,264,125,209,26400,,,,,,,,,,,,
0.026309432461857796,218.26219,0.0,100.0,268,125,216,27200,0.10732765204738826,0.08008466952014714,47.27041393518448,0.35229632537811995,98.0,0.0003,98.0,3328,0.11221741477493197,10.721824914216995,-15.922405883669853,0.28794294875115156
0.026309432461857796,218.26219,0.0,100.0,272,125,216,27200,,,,,,,,,,,,
0.026325950399041176,219.19655,0.0,100.0,276,126,221,28000,0.1085867180954665,0.07865082030184567,47.65448272228241,0.3514223820529878,98.0,0.0003,98.0,3392,0.11323925736360252,10.588676527142525,-15.660279840230942,0.2902626795694232
0.026325950399041176,219.19655,0.0,100.0,280,126,221,28000,,,,,,,,,,,,
0.026358572766184807,216.75294,0.0,100.0,284,125,228,28800,0.10704347456339747,0.07580222736578435,46.851975083351135,0.3461218108423054,98.0,0.0003,98.0,3520,0.11117614910472184,8.928779557347298,-15.985852882266045,0.2846811353228986
0.026358572766184807,216.75294,0.0,100.0,288,125,228,28800,,,,,,,,,,,,
0.026374977082014084,216.58617,0.0,100.0,292,126,233,29600,0.10747830220498145,0.0744644730584696,46.87211203575134,0.3459179694764316,98.0,0.0003,98.0,3584,0.11170570796821266,8.228200942277908,-15.893978759646416,0.28165541077032685
0.026374977082014084,216.58617,0.0,100.0,296,126,233,29600,,,,,,,,,,,,
0.02640709839761257,217.57898,0.0,100.0,300,125,241,30400,0.10601707722526044,0.07188790361396968,46.12495714426041,0.33939836313948035,98.0,0.0003,98.0,3712,0.11111537204124033,6.724768176674843,-15.77828823029995,0.27830456173978746
