#{"t_start": 1785343775.9589021, "env_id": null}
r,l,t
281.82382,100,4.47902
265.2071,100,4.479331
299.88995,100,4.479363
288.89597,100,4.479377
290.81955,100,4.479389
301.40625,100,4.479401
191.46237,100,4.479413
271.33057,100,4.479424
247.48349,100,12.148807
204.49825,100,12.149184
240.88515,100,12.149201
261.58737,100,12.149213
300.17337,100,12.149222
277.10007,100,12.149231
272.56476,100,12.149241
266.3272,100,12.149249
208.5969,100,16.937119
186.04124,100,16.937399
123.93725,100,16.937421
290.04507,100,16.937437
272.73593,100,16.937448
289.4938,100,16.93746
290.2932,100,16.937471
139.82205,100,16.937482
291.9257,100,24.670598
279.95392,100,24.670831
283.27286,100,24.670849
262.3207,100,24.670861
231.88751,100,24.670872
261.76532,100,24.670882
165.29593,100,24.670893
152.38055,100,24.670902
297.374,100,29.313459
188.46365,100,29.313653
270.36627,100,29.31367
177.83064,100,29.313682
202.1168,100,29.313696
163.74928,100,29.313707
225.1312,100,29.313717
205.47762,100,29.313727
272.96198,100,36.69963
175.37799,100,36.699885
332.37305,100,36.699906
189.91612,100,36.699921
198.26683,100,36.699934
229.71396,100,36.699946
187.8062,100,36.699957
211.1033,100,36.699969
178.23123,100,41.229447
145.15395,100,41.229637
189.2319,100,41.229656
180.80666,100,41.229669
165.87697,100,41.229679
153.7935,100,41.229691
281.07425,100,41.229701
126.7519,100,41.229711
286.03137,100,48.763891
289.1063,100,48.764092
134.73656,100,48.76411
203.1572,100,48.764122
162.99129,100,48.764133
158.83109,100,48.764144
267.77115,100,48.764153
277.55197,100,48.764163
286.963,100,56.187623
193.4462,100,56.187802
300.99368,100,56.18782
158.86435,100,56.187834
239.31683,100,56.187845
170.7069,100,56.187855
241.57318,100,56.187863
211.85683,100,56.187874
210.46405,100,61.188169
277.85516,100,61.188427
218.82773,100,61.188446
339.5255,100,61.18846
205.14545,100,61.188473
182.26936,100,61.188485
171.41382,100,61.188498
196.51639,100,61.188508
241.06883,100,68.62817
187.88004,100,68.628404
243.82234,100,68.628421
211.72066,100,68.628434
192.8718,100,68.628446
159.71217,100,68.628459
195.5724,100,68.628471
297.69394,100,68.628482
255.7336,100,73.762985
182.0222,100,73.763222
273.90616,100,73.76324
169.36513,100,73.763254
210.73737,100,73.763266
203.82837,100,73.763276
143.78122,100,73.763288
144.42343,100,73.763298
149.35559,100,82.180581
195.20268,100,82.180797
142.01779,100,82.180816
164.36134,100,82.18083
247.86523,100,82.180841
147.264,100,82.180852
307.89523,100,82.180862
198.3424,100,82.180871
281.02792,100,87.154732
290.0168,100,87.154958
211.76106,100,87.154976
189.99391,100,87.154989
240.48831,100,87.155
185.02672,100,87.155011
185.55107,100,87.155022
190.7887,100,87.155032
301.2439,100,94.446004
180.93883,100,94.446227
293.71118,100,94.446243
281.4344,100,94.446255
208.78542,100,94.446266
203.3508,100,94.446275
212.1255,100,94.446285
196.53941,100,94.446295
198.58437,100,99.481071
252.16335,100,99.481388
168.01201,100,99.481414
179.55902,100,99.481431
162.55292,100,99.481445
217.16264,100,99.481457
152.42134,100,99.48147
216.3261,100,99.48148
233.04251,100,106.740468
160.56575,100,106.740729
214.66187,100,106.740746
105.641205,100,106.740758
175.55049,100,106.740768
175.90518,100,106.740777
215.13147,100,106.740786
178.14026,100,106.740794
192.43823,100,114.473746
188.20805,100,114.473937
224.03485,100,114.473952
137.91084,100,114.473961
262.85968,100,114.473971
185.91144,100,114.473979
190.10583,100,114.473988
275.97836,100,114.473996
181.41908,100,119.871692
270.7185,100,119.871922
222.6532,100,119.871942
200.79567,100,119.871956
171.31256,100,119.871971
195.81963,100,119.871981
203.25574,100,119.871991
302.66718,100,119.872002
152.9301,100,127.697863
228.40376,100,127.698049
200.14645,100,127.698066
182.13216,100,127.698078
139.48401,100,127.698089
212.54399,100,127.6981
185.11935,100,127.69811
270.21808,100,127.69812
193.22304,100,132.784375
212.14394,100,132.784607
223.87872,100,132.784627
198.88557,100,132.784664
291.60138,100,132.784678
176.24683,100,132.784689
178.42357,100,132.784701
232.4886,100,132.784713
188.42186,100,140.671381
228.78006,100,140.671617
220.5159,100,140.671633
212.16751,100,140.671645
294.58853,100,140.671655
212.63046,100,140.671666
191.16687,100,140.671676
172.17117,100,140.671685
282.37753,100,146.478005
256.50964,100,146.478143
279.5905,100,146.478162
230.53023,100,146.478177
262.9974,100,146.478188
301.81882,100,146.478201
188.78267,100,146.478213
285.36682,100,146.478224
211.42207,100,154.358341
322.14844,100,154.35855
221.44249,100,154.358567
163.68411,100,154.358579
178.21188,100,154.358589
210.63733,100,154.358599
154.6558,100,154.358608
298.73972,100,154.358617
216.06255,100,161.522561
240.40747,100,161.522743
193.27917,100,161.522761
218.40543,100,161.522774
228.52669,100,161.522784
224.87158,100,161.522794
199.51897,100,161.522804
165.3908,100,161.522814
185.52725,100,166.786881
274.38843,100,166.787113
195.3183,100,166.787132
245.82492,100,166.787145
204.64323,100,166.787156
189.93468,100,166.787166
194.85417,100,166.787177
169.47176,100,166.787191
203.98488,100,174.46768
203.77396,100,174.467907
229.87456,100,174.46793
295.43393,100,174.467944
179.84708,100,174.467957
118.581345,100,174.467969
233.31519,100,174.46798
236.70706,100,174.467991
309.145,100,179.657852
166.65067,100,179.658135
259.69583,100,179.658165
243.53531,100,179.658185
156.01549,100,179.658202
183.40163,100,179.658219
187.92715,100,179.658236
223.85114,100,179.658253
272.36362,100,187.320663
227.79239,100,187.320895
192.73035,100,187.320914
199.32562,100,187.320928
266.2354,100,187.320941
224.25633,100,187.320952
227.53906,100,187.320966
205.89362,100,187.320976
190.73866,100,192.20267
195.72609,100,192.202847
172.2938,100,192.202868
221.20499,100,192.202882
186.28316,100,192.202893
166.302,100,192.202904
159.81541,100,192.202916
241.6802,100,192.202926
156.69649,100,199.869805
164.0373,100,199.870045
212.44543,100,199.870068
158.31026,100,199.870085
243.44164,100,199.870096
229.83368,100,199.870107
225.97208,100,199.870118
261.70728,100,199.870129
165.99022,100,204.688201
174.824,100,204.688719
201.44373,100,204.688738
193.8478,100,204.688754
171.69269,100,204.688766
224.20285,100,204.688782
284.36456,100,204.688793
226.03484,100,204.688809
280.17636,100,212.051054
152.79587,100,212.051479
199.45624,100,212.0515
305.00027,100,212.051515
157.74512,100,212.051527
253.53459,100,212.051536
300.2483,100,212.051546
198.85918,100,212.051555
270.22327,100,219.037614
241.22145,100,219.037884
257.765,100,219.0379
177.94058,100,219.037911
210.7961,100,219.03792
199.53136,100,219.037929
254.04865,100,219.037937
224.21274,100,219.037946
176.3818,100,223.858233
190.458,100,223.8584
297.3581,100,223.858417
292.32663,100,223.858428
282.9606,100,223.85844
223.11053,100,223.858449
291.80414,100,223.858459
258.59723,100,223.858467
241.50711,100,231.488361
