time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/std,rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/critic_loss
340,124,281.23853,273,0.025703174993395805,100.0,34000,0.0,8304,-79.24629640579224,0.0003,-15.274670571088791,0.020587121602147818,4.2318112552165985
344,124,282.57764,276,0.02570240944623947,100.0,34400,0.0,8400,-79.49663305282593,0.0003,-13.423629015684128,0.020195974269881845,4.208503186702728
348,124,282.52664,280,0.025702359154820442,100.0,34800,0.0,8496,-80.0549259185791,0.0003,-16.827479600906372,0.019822052214294672,3.844459056854248
352,124,281.79575,283,0.0257031861692667,100.0,35200,0.0,8592,-81.01754140853882,0.0003,-14.630588382482529,0.019455168745480478,4.805486619472504
356,124,282.90115,286,0.025701100006699562,100.0,35600,0.0,8704,-81.56197786331177,0.0003,-14.756329715251923,0.019027298665605485,4.604512885212898
360,124,283.4785,289,0.025696756318211555,100.0,36000,0.0,8800,-82.2285647392273,0.0003,-10.90333217382431,0.018664047471247613,5.8245760053396225
364,124,282.8701,293,0.025698071345686913,100.0,36400,0.0,8896,-82.75125360488892,0.0003,-16.083228170871735,0.018350437399931252,4.501125410199165
368,124,283.2174,296,0.025700075551867485,100.0,36800,0.0,8992,-83.1916880607605,0.0003,-15.253726720809937,0.017967261257581413,5.467609748244286
372,123,283.95404,300,0.025699781253933907,100.0,37200,0.0,9104,-83.72351741790771,0.0003,-11.871278950944543,0.017598183010704815,4.523436143994331
376,124,283.93234,303,0.025699805468320847,100.0,37600,0.0,9200,-84.55562973022461,0.0003,-8.261643506586552,0.01731952012050897,5.838698506355286
380,124,284.294,306,0.02570066973567009,100.0,38000,0.0,9296,-85.0844235420227,0.0003,-11.375290840864182,0.01701812562532723,4.660309657454491
384,124,283.3497,309,0.02570023387670517,100.0,38400,0.0,9392,-85.60052680969238,0.0003,-7.052572134882212,0.016696022707037628,5.402052640914917
388,123,283.06335,312,0.025697434321045876,100.0,38800,0.0,9504,-86.42366790771484,0.0003,-9.960441946983337,0.016364692710340023,5.0993455201387405
392,123,284.11884,316,0.025691386312246323,100.0,39200,0.0,9600,-86.50790739059448,0.0003,-9.1562070697546,0.01609895029105246,5.408127307891846
396,123,283.59747,319,0.025692200288176537,100.0,39600,0.0,9696,-87.54774856567383,0.0003,-8.285297021269798,0.015889966278336942,5.000040233135223
400,124,281.7715,322,0.025692244991660118,100.0,40000,0.0,9792,-88.27011585235596,0.0003,-5.709544572979212,0.015663746744394302,6.293071627616882
404,123,283.4212,326,0.0256972536444664,100.0,40400,0.0,9904,-88.56488132476807,0.0003,-6.3118751384317875,0.015395019669085741,6.193104475736618
