#{"t_start": 1783697779.6788046, "env_id": null}
r,l,t
205.58452,100,1.967713
290.97235,100,1.967772
275.17786,100,1.967787
263.9631,100,1.967797
302.49866,100,2.964823
193.94363,100,2.964877
264.54538,100,2.964889
251.57591,100,2.964897
241.85013,100,7.302532
185.35698,100,7.302593
220.91138,100,7.302608
289.95602,100,7.302618
172.73622,100,10.403522
222.16812,100,10.403589
190.89517,100,10.403605
222.70427,100,10.403615
170.25813,100,13.902066
229.40483,100,13.902125
210.08748,100,13.902138
146.27156,100,13.902148
183.65782,100,17.039696
233.70386,100,17.039765
196.96935,100,17.03978
170.63228,100,17.039791
215.18,100,20.232244
178.14775,100,20.23231
209.2436,100,20.232325
190.0946,100,20.232337
180.77644,100,23.546508
211.42908,100,23.546574
265.23294,100,23.546588
159.85918,100,23.546598
185.37428,100,27.028911
268.2963,100,27.028978
143.28658,100,27.028992
136.46133,100,27.029002
159.77989,100,30.142294
269.42856,100,30.142359
199.42914,100,30.142375
178.88625,100,30.142386
236.08484,100,33.332616
275.36737,100,33.332707
278.12845,100,33.332736
233.37846,100,33.332758
201.55171,100,36.539775
126.83805,100,36.53984
225.18,100,36.539855
209.98207,100,36.539865
239.45949,100,40.301018
206.26195,100,40.301082
133.70071,100,40.301096
240.24074,100,40.301107
125.063576,100,43.48725
286.91617,100,43.487316
153.86523,100,43.487331
254.43982,100,43.487342
154.80508,100,46.662994
281.5587,100,46.663059
248.1789,100,46.663074
192.0345,100,46.663085
222.08815,100,49.685423
223.76553,100,49.68549
225.1038,100,49.685505
216.17163,100,49.685516
183.32304,100,53.161929
146.30098,100,53.161996
138.37186,100,53.162011
129.16954,100,53.162021
217.796,100,56.448392
249.24081,100,56.448457
179.13422,100,56.448471
264.17902,100,56.448481
224.67699,100,59.661793
201.43134,100,59.661863
282.37863,100,59.661878
289.28427,100,59.661888
170.5779,100,62.833228
196.42131,100,62.833293
187.4931,100,62.833308
257.7982,100,62.833318
169.0354,100,66.311697
257.47998,100,66.311763
258.73492,100,66.311777
160.07909,100,66.311787
284.36432,100,69.507944
145.97693,100,69.508009
183.58208,100,69.508024
201.02104,100,69.508035
176.75337,100,72.623752
162.6976,100,72.623816
313.2632,100,72.623831
185.70726,100,72.623841
292.59875,100,75.791723
194.15768,100,75.791791
282.7078,100,75.791806
222.1169,100,75.791816
278.46783,100,79.362315
287.97992,100,79.362379
267.43573,100,79.362391
263.01715,100,79.3624
197.32109,100,82.422779
178.67996,100,82.422843
195.7767,100,82.422858
254.79741,100,82.422868
188.21094,100,85.684179
193.03189,100,85.684242
178.75504,100,85.684255
275.23996,100,85.684263
272.20392,100,88.879393
248.80894,100,88.879458
291.85727,100,88.879472
272.46838,100,88.879482
232.3413,100,92.386438
177.38426,100,92.386504
273.10593,100,92.386519
276.3529,100,92.386531
280.89886,100,95.437154
239.5262,100,95.43722
268.56406,100,95.437234
204.96004,100,95.437245
203.43317,100,98.717885
250.44392,100,98.71795
205.64372,100,98.717965
166.79431,100,98.717976
276.8803,100,101.922931
195.98215,100,101.922998
198.01282,100,101.923013
222.3882,100,101.923024
246.73094,100,105.475309
278.4422,100,105.475377
278.43823,100,105.475392
290.33325,100,105.475403
287.86832,100,108.519587
229.90753,100,108.51965
279.89346,100,108.519662
260.15057,100,108.519671
272.60358,100,111.710261
250.67969,100,111.710326
288.58896,100,111.710341
226.6567,100,111.710351
251.29642,100,114.84255
286.8218,100,114.842615
284.63495,100,114.842632
175.15988,100,114.842643
186.61676,100,118.427321
273.50778,100,118.427382
273.7453,100,118.427395
248.34048,100,118.427403
276.55188,100,121.484209
285.04062,100,121.484272
255.3672,100,121.484286
254.6509,100,121.484294
286.49963,100,124.729068
264.74167,100,124.729125
238.8498,100,124.72914
286.20023,100,124.72915
274.89136,100,127.942235
267.63242,100,127.942299
282.54767,100,127.942313
265.28775,100,127.942323
231.80788,100,131.388236
188.18997,100,131.388301
228.8888,100,131.388314
288.8439,100,131.388336
201.50815,100,134.340762
295.99637,100,134.34083
276.8771,100,134.340847
231.73114,100,134.340858
252.97263,100,137.297509
291.65985,100,137.297572
289.38327,100,137.297586
280.73767,100,137.297596
249.93523,100,140.323142
240.92113,100,140.323211
283.87698,100,140.323227
291.9707,100,140.323239
274.65372,100,143.655407
290.51212,100,143.655473
246.86682,100,143.655487
232.40561,100,143.655498
289.90112,100,146.730075
287.09106,100,146.730144
294.65845,100,146.730159
287.8462,100,146.73017
245.57477,100,150.021354
247.78459,100,150.021421
289.70013,100,150.021435
264.79355,100,150.021446
280.89197,100,153.220568
285.4619,100,153.220635
290.3436,100,153.22065
290.28073,100,153.22066
272.20978,100,156.749121
240.39742,100,156.749182
284.15164,100,156.749194
285.86618,100,156.749203
201.56296,100,159.967214
276.54187,100,159.967282
291.1984,100,159.967297
283.2006,100,159.967307
276.38937,100,162.989023
265.52768,100,162.989091
251.1121,100,162.989105
215.89294,100,162.989116
281.49246,100,166.234741
285.08377,100,166.234812
271.44537,100,166.234828
283.4714,100,166.234838
283.63745,100,169.84533
279.42706,100,169.845392
227.68784,100,169.845405
295.7882,100,169.845415
293.5656,100,172.870953
293.6776,100,172.87102
233.25113,100,172.871035
275.8673,100,172.871046
269.30573,100,176.13567
293.78757,100,176.135747
285.83237,100,176.13576
283.63248,100,176.135768
286.82422,100,179.182671
276.05026,100,179.182739
277.45978,100,179.182752
256.70963,100,179.182761
277.6074,100,182.708234
234.29305,100,182.7083
252.64941,100,182.708315
262.67044,100,182.708326
294.5102,100,185.917637
284.69354,100,185.917711
240.25603,100,185.917726
267.74353,100,185.917737
301.36612,100,189.065174
293.8947,100,189.065238
340.23224,100,189.065253
228.63487,100,189.065264
194.68709,100,192.219931
295.81433,100,192.219999
323.6475,100,192.220013
242.6389,100,192.220022
289.3859,100,195.706421
294.59766,100,195.706484
228.56432,100,195.706497
269.96005,100,195.706505
284.00998,100,198.871348
294.18848,100,198.871413
242.34082,100,198.871428
301.87747,100,198.871439
305.5798,100,202.076496
274.57816,100,202.076563
301.73206,100,202.076579
284.39294,100,202.076589
199.17642,100,205.291035
283.10965,100,205.291101
260.18036,100,205.291116
314.47214,100,205.291127
285.007,100,208.65898
286.0707,100,208.659045
249.00417,100,208.65906
290.30057,100,208.65907
281.28445,100,211.819666
294.30743,100,211.81974
279.97147,100,211.819755
302.6679,100,211.819767
285.61737,100,215.042511
242.00198,100,215.042578
289.11465,100,215.042592
287.24463,100,215.042601
291.4415,100,218.243588
290.1583,100,218.243647
274.3007,100,218.243659
265.42792,100,218.243667
293.4161,100,221.626732
284.14722,100,221.626802
290.7589,100,221.626816
208.37247,100,221.626824
265.26093,100,224.92446
293.6795,100,224.924526
300.00952,100,224.924542
288.0905,100,224.924552
289.42203,100,227.971051
290.60275,100,227.971112
290.0525,100,227.971125
295.59595,100,227.971134
292.438,100,231.181288
258.7796,100,231.181356
300.46204,100,231.181371
279.658,100,231.181384
220.0787,100,234.456939
243.79791,100,234.457005
228.20943,100,234.45702
292.06656,100,234.457031
293.8042,100,237.96634
290.59793,100,237.966407
296.93588,100,237.966425
290.2578,100,237.966435
229.10664,100,241.319671
297.77072,100,241.319762
310.07806,100,241.31978
312.80774,100,241.319793
279.8537,100,244.393238
292.83093,100,244.393297
271.90417,100,244.39331
285.6747,100,244.393318
267.86206,100,247.877039
268.43704,100,247.877105
288.46503,100,247.87712
297.45383,100,247.87713
282.87497,100,251.124277
287.4677,100,251.124339
251.5938,100,251.124352
273.51468,100,251.12436
284.7487,100,254.428151
272.64377,100,254.428215
287.22305,100,254.428227
290.38876,100,254.428235
304.48596,100,257.63799
283.47018,100,257.638057
303.57803,100,257.638071
292.349,100,257.638082
201.46057,100,260.99324
290.81445,100,260.993309
287.00485,100,260.993323
281.59253,100,260.993344
296.34164,100,264.185347
236.0052,100,264.185415
292.60025,100,264.18543
295.22327,100,264.185441
308.25116,100,267.297475
268.62198,100,267.297539
308.74344,100,267.297553
235.10901,100,267.297563
318.78317,100,270.539855
253.05865,100,270.539916
335.1007,100,270.539931
295.8607,100,270.539941
248.51474,100,274.338636
327.37906,100,274.338702
315.5104,100,274.338716
312.73166,100,274.338724
326.48492,100,277.633291
291.1149,100,277.633356
301.77054,100,277.633367
297.04648,100,277.633376
224.10434,100,280.785551
298.45535,100,280.785613
330.56998,100,280.785626
264.19083,100,280.785635
241.06226,100,283.93205
321.0358,100,283.932121
269.97342,100,283.932136
261.12143,100,283.932148
306.2528,100,287.546159
303.0928,100,287.546221
266.02744,100,287.546237
292.10617,100,287.546248
293.87808,100,290.733896
333.2829,100,290.733961
248.04929,100,290.733976
292.90665,100,290.733987
290.1972,100,293.942978
277.2989,100,293.943041
270.85483,100,293.943055
259.04178,100,293.943065
255.20155,100,297.268691
335.06656,100,297.268754
259.7461,100,297.268767
288.6934,100,297.268775
239.94203,100,300.818248
328.0208,100,300.818312
295.11063,100,300.818327
331.91537,100,300.818338
282.15488,100,303.962442
214.22443,100,303.96251
271.8512,100,303.962525
306.29678,100,303.962536
309.6988,100,307.098604
296.86584,100,307.098667
295.33588,100,307.09869
281.30588,100,307.098702
200.28328,100,310.270496
294.7088,100,310.270561
285.7975,100,310.270576
290.4526,100,310.270586
274.34808,100,313.660523
276.16595,100,313.660585
227.91167,100,313.660598
324.28003,100,313.660607
305.0296,100,317.029841
221.10109,100,317.029907
284.8298,100,317.02992
278.7399,100,317.029931
278.13278,100,320.258527
301.5125,100,320.25859
280.14267,100,320.258605
259.66965,100,320.258616
256.66537,100,323.238056
215.1273,100,323.238121
281.056,100,323.238136
214.31876,100,323.238147
331.06082,100,326.982917
304.2065,100,326.982982
338.927,100,326.982997
321.03677,100,326.983008
279.94925,100,330.278234
291.46484,100,330.278304
277.62732,100,330.27832
317.11334,100,330.278332
272.834,100,333.462662
336.64697,100,333.462738
292.06198,100,333.462753
220.49094,100,333.462763
293.268,100,336.688432
290.33713,100,336.688495
292.6232,100,336.688509
317.00763,100,336.68852
343.9866,100,340.262742
335.2273,100,340.262805
298.64554,100,340.262817
362.48965,100,340.262827
263.05936,100,343.561777
292.82104,100,343.561841
213.42151,100,343.561856
251.91245,100,343.561868
256.34787,100,346.866763
283.14374,100,346.866829
296.5745,100,346.866844
245.84035,100,346.866855
257.8515,100,350.133525
318.81647,100,350.133589
280.87198,100,350.133605
291.97296,100,350.133615
332.54532,100,353.957224
327.2845,100,353.957289
323.52957,100,353.957305
287.9002,100,353.957316
360.80823,100,357.2654
364.27463,100,357.26546
337.64255,100,357.265475
218.68524,100,357.265486
225.37546,100,360.830934
361.94293,100,360.830995
369.3111,100,360.83101
232.15562,100,360.831021
191.38428,100,363.928062
340.38583,100,363.928126
362.87637,100,363.928141
282.93155,100,363.928151
276.3383,100,367.418809
278.4701,100,367.418871
351.01587,100,367.418884
238.88231,100,367.418892
355.32797,100,370.961574
343.19925,100,370.961634
278.44406,100,370.961649
190.62277,100,370.96166
328.7347,100,374.581365
376.47903,100,374.581429
352.75577,100,374.581444
239.17186,100,374.581455
351.44037,100,377.843723
337.25137,100,377.843787
283.408,100,377.843802
317.71582,100,377.843812
240.83305,100,381.339368
291.21362,100,381.339427
328.99042,100,381.33944
301.50085,100,381.339449
167.80951,100,384.468698
310.4961,100,384.468761
313.19073,100,384.468776
286.0743,100,384.468787
357.46225,100,387.967719
267.3399,100,387.967783
388.38834,100,387.967798
286.3668,100,387.967808
319.00873,100,391.102823
351.2969,100,391.102883
253.153,100,391.102897
319.07193,100,391.102908
