#{"t_start": 1782866252.1529994, "env_id": null}
r,l,t
292.04456,100,4.763296
245.42625,100,4.763434
280.85428,100,4.763489
283.2685,100,4.763522
254.40823,100,7.409966
246.11415,100,7.410092
296.21558,100,7.410131
258.79147,100,7.410162
248.04184,100,18.864355
205.39417,100,18.864561
259.64172,100,18.864601
292.86447,100,18.864634
175.65935,100,27.187537
203.18561,100,27.18773
197.30154,100,27.18777
157.00925,100,27.187818
290.8213,100,36.870305
250.05301,100,36.870506
188.4687,100,36.870562
167.75945,100,36.870596
171.80988,100,46.183302
163.56897,100,46.183468
206.61978,100,46.183508
267.1598,100,46.18354
247.22955,100,54.811123
237.30916,100,54.811347
292.10327,100,54.81139
265.49902,100,54.811425
211.35287,100,63.245475
183.68129,100,63.245682
92.699265,100,63.245751
229.20744,100,63.245795
200.81529,100,72.700935
249.78137,100,72.70118
191.08145,100,72.701221
156.58414,100,72.701254
206.61578,100,81.284347
246.84766,100,81.284559
125.63942,100,81.2846
108.454544,100,81.284632
124.28577,100,90.392102
175.04692,100,90.392323
193.18254,100,90.392365
241.98065,100,90.392398
204.02406,100,98.740888
268.95633,100,98.741077
285.0186,100,98.741119
132.26562,100,98.741151
173.42302,100,108.167595
188.15736,100,108.167754
164.00479,100,108.167792
270.2106,100,108.167824
285.20877,100,116.447517
110.96034,100,116.447714
137.38326,100,116.447763
220.0476,100,116.447814
194.30508,100,124.65006
216.96136,100,124.650258
170.53914,100,124.6503
177.44107,100,124.650349
197.00098,100,133.267313
96.93439,100,133.26746
249.90523,100,133.267516
242.78004,100,133.26755
243.40373,100,142.920331
294.16473,100,142.920466
233.051,100,142.920506
205.38501,100,142.920539
294.97806,100,151.859742
241.41034,100,151.859935
254.58348,100,151.859974
169.55602,100,151.860005
271.55927,100,160.269465
165.12962,100,160.269627
244.33383,100,160.269668
216.26169,100,160.269701
239.65016,100,169.229135
184.83287,100,169.229337
241.60016,100,169.229378
128.93782,100,169.229411
209.97855,100,178.996191
270.5632,100,178.996423
185.7575,100,178.996479
168.8596,100,178.996511
162.53267,100,187.682504
271.82062,100,187.682646
243.58092,100,187.682686
248.50186,100,187.682719
201.89603,100,196.621515
159.65404,100,196.621771
196.04381,100,196.62182
181.39389,100,196.621856
174.60478,100,205.586496
258.51456,100,205.586731
261.47354,100,205.586771
193.12578,100,205.586802
234.08694,100,215.465041
249.46379,100,215.465271
174.64056,100,215.465312
287.06683,100,215.465344
192.84743,100,224.580208
145.55333,100,224.580339
225.58188,100,224.580396
271.4937,100,224.580435
206.41774,100,233.682747
227.94286,100,233.682975
177.74161,100,233.683014
228.79652,100,233.683061
151.16249,100,242.339189
179.60889,100,242.339385
177.80939,100,242.339424
244.53786,100,242.339471
227.10454,100,251.821817
187.32425,100,251.822018
278.53363,100,251.822058
218.07037,100,251.82209
286.3007,100,260.360418
274.1581,100,260.360607
282.75577,100,260.360646
261.66547,100,260.360677
188.79175,100,268.883248
268.14148,100,268.883455
253.09605,100,268.883493
278.5179,100,268.883524
279.117,100,277.934409
198.67738,100,277.934584
228.57327,100,277.934622
234.93623,100,277.934653
147.6102,100,287.56822
239.36168,100,287.568425
242.89653,100,287.568466
285.231,100,287.5685
187.77357,100,296.368405
155.7447,100,296.368616
269.73654,100,296.368674
272.1187,100,296.368723
246.51358,100,305.229838
261.4443,100,305.230058
198.47464,100,305.230098
230.2012,100,305.230148
236.99255,100,314.025316
282.74957,100,314.025451
249.38869,100,314.025491
286.5737,100,314.025523
283.97897,100,323.658619
265.25302,100,323.658847
289.97202,100,323.658889
159.09161,100,323.658921
257.59784,100,332.666336
273.87283,100,332.666504
158.52104,100,332.666544
284.5155,100,332.666576
173.23152,100,340.805585
285.56052,100,340.805817
287.42267,100,340.805859
205.86957,100,340.805892
266.6355,100,349.350302
291.1865,100,349.35042
291.76987,100,349.35046
292.70023,100,349.350493
246.02316,100,359.348656
278.52533,100,359.348884
264.27026,100,359.348942
253.08656,100,359.348977
283.0652,100,368.272843
192.25519,100,368.27305
284.2336,100,368.273093
292.5839,100,368.273127
286.276,100,377.157929
292.7315,100,377.158063
279.235,100,377.158103
270.0634,100,377.158135
189.43463,100,385.904456
207.98198,100,385.904677
206.58353,100,385.904718
234.10239,100,385.904767
250.95457,100,394.902448
264.305,100,394.902611
248.5925,100,394.90265
192.09756,100,394.902681
283.01093,100,403.84713
229.58528,100,403.847385
229.4388,100,403.847425
277.06964,100,403.847459
275.15198,100,412.635573
285.2033,100,412.635784
275.36343,100,412.635823
291.39746,100,412.63587
265.8443,100,421.360356
289.24384,100,421.360579
262.85486,100,421.360622
286.64813,100,421.360656
281.32886,100,431.492509
282.18845,100,431.492723
279.9097,100,431.492765
293.5904,100,431.492813
282.96155,100,440.429465
243.47517,100,440.429589
286.76645,100,440.429627
288.49048,100,440.42966
293.7943,100,449.67672
275.74716,100,449.676996
284.42648,100,449.677056
276.7328,100,449.677109
276.27658,100,458.54412
278.6288,100,458.54425
290.66653,100,458.544291
282.59155,100,458.544325
265.05365,100,467.678332
278.08456,100,467.678493
211.24593,100,467.678531
240.93727,100,467.678562
277.55194,100,476.566128
288.19604,100,476.566286
284.94998,100,476.566323
256.0595,100,476.566352
292.72943,100,485.518541
282.89777,100,485.518728
289.61606,100,485.518766
291.3598,100,485.518796
293.83734,100,493.749
294.75464,100,493.749136
282.36337,100,493.749176
257.48224,100,493.74921
290.63568,100,503.303301
293.87582,100,503.30352
281.29724,100,503.30356
266.33282,100,503.303593
282.7141,100,511.635497
290.78223,100,511.635641
224.56827,100,511.63568
301.31024,100,511.635713
252.13895,100,520.593163
292.01843,100,520.593389
292.26633,100,520.593436
288.52475,100,520.593472
291.39206,100,529.586926
294.09134,100,529.587063
258.72336,100,529.587119
243.92447,100,529.587152
230.7889,100,539.400475
277.01657,100,539.400675
259.713,100,539.400716
280.60834,100,539.400749
216.61568,100,547.775547
276.971,100,547.775682
269.41632,100,547.775722
248.69489,100,547.775755
269.40738,100,556.774386
292.07047,100,556.774503
281.6608,100,556.774542
268.2882,100,556.774573
283.18884,100,565.658604
293.23007,100,565.658762
280.64627,100,565.6588
279.6877,100,565.658848
288.39273,100,575.460726
249.18726,100,575.460946
291.6568,100,575.460988
221.81812,100,575.461021
264.1186,100,583.954066
290.41953,100,583.954253
285.5465,100,583.954309
294.41284,100,583.954343
293.3843,100,593.088976
293.15134,100,593.089192
290.35178,100,593.089234
288.09866,100,593.089268
276.2678,100,602.023033
288.05014,100,602.023162
288.82678,100,602.023201
223.63646,100,602.023235
224.19348,100,611.869206
291.64673,100,611.869442
275.42886,100,611.869483
291.9951,100,611.869516
286.7317,100,620.915976
280.24002,100,620.9161
292.91293,100,620.916141
284.15195,100,620.916174
290.61386,100,629.112596
276.24457,100,629.112732
287.44626,100,629.112774
255.55351,100,629.112808
285.36615,100,637.684266
289.4041,100,637.684409
233.72078,100,637.68445
293.40842,100,637.684484
288.81104,100,647.104306
261.4673,100,647.104493
275.6828,100,647.10454
282.421,100,647.104591
292.12546,100,656.077559
286.9742,100,656.077704
241.68774,100,656.07777
285.87683,100,656.07781
