train/std,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/episodes,train/n_updates,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/actor_loss,train/learning_rate
0.025476466864347458,123,400,275.39838,0.0,100.0,3,4,,,,,,
0.025476466864347458,135,800,269.64038,0.0,100.0,5,8,,,,,,
0.025500889867544174,69,1200,263.58878,0.0,100.0,17,12,96,0.17037736997008324,0.19544621091336012,-17.921956956386566,-4.867363691329956,0.0003
0.025511614978313446,62,1600,243.5138,0.0,100.0,25,16,192,0.17997960466891527,0.18871742952615023,-18.88624894618988,-5.759334415197372,0.0003
0.025516975671052933,56,2000,239.66617,0.0,100.0,35,20,304,0.22196398582309484,0.18188454769551754,-18.822009563446045,-6.92124342918396,0.0003
0.025521202012896538,53,2400,233.43672,0.0,100.0,44,24,400,0.27727370616048574,0.17640249710530043,-19.35714328289032,-8.06875467300415,0.0003
0.025524510070681572,52,2800,237.30794,0.0,100.0,53,28,496,0.32700251694768667,0.1711028954014182,-20.262513160705566,-9.3155797123909,0.0003
0.025527535006403923,51,3200,230.04886,0.0,100.0,61,32,592,0.5397844547405839,0.16607700008898973,-20.216389894485474,-10.348711013793945,0.0003
0.02553132362663746,50,3600,226.66182,0.0,100.0,71,36,704,0.5574711710214615,0.1604319429025054,-20.84972643852234,-11.559855699539185,0.0003
0.025534095242619514,50,4000,221.1846,0.0,100.0,79,40,800,0.644174026325345,0.15576105192303658,-20.9729825258255,-12.571022272109985,0.0003
0.025539522990584373,49,4400,217.77,0.0,100.0,88,44,896,0.7782142693176866,0.15125630237162113,-20.913677096366882,-13.506622195243835,0.0003
0.025542261078953743,49,4800,218.16966,0.0,100.0,97,48,992,0.8330774083733559,0.1469020340591669,-22.3998122215271,-14.739735841751099,0.0003
0.025543654337525368,48,5200,216.69115,0.0,100.0,106,52,1104,1.0903812311589718,0.1420013690367341,-22.129870295524597,-15.715917468070984,0.0003
0.02554974891245365,48,5600,214.67033,0.0,100.0,114,56,1200,1.0208035744726658,0.13797233905643225,-22.275875568389893,-16.748281598091125,0.0003
0.02555260993540287,48,6000,213.01309,0.0,100.0,123,60,1296,1.0723584480583668,0.13409524504095316,-22.650670170783997,-17.68570113182068,0.0003
0.025556566193699837,48,6400,211.99072,0.0,100.0,131,64,1392,1.720144595950842,0.13026172760874033,-23.135741114616394,-18.57092797756195,0.0003
0.025558842346072197,48,6800,213.87367,0.0,100.0,141,68,1504,1.3259591087698936,0.1259535076096654,-23.016498684883118,-20.25598430633545,0.0003
0.02556263655424118,47,7200,215.33249,0.0,100.0,150,72,1600,1.6111098006367683,0.12238404201343656,-23.60103130340576,-21.129882216453552,0.0003
0.02556341513991356,47,7600,215.80559,0.0,100.0,158,76,1696,1.5210815593600273,0.11896577384322882,-23.652210474014282,-22.29104208946228,0.0003
0.0255684033036232,47,8000,214.95308,0.0,100.0,167,80,1792,1.7497472241520882,0.11567235039547086,-24.036924242973328,-23.230130434036255,0.0003
0.025570057332515717,47,8400,214.65958,0.0,100.0,177,84,1904,2.088191293179989,0.11188215296715498,-24.443210005760193,-24.32332718372345,0.0003
0.025571711361408234,47,8800,215.43,0.0,100.0,186,88,2000,1.7864052131772041,0.10874990839511156,-24.164677500724792,-25.386496901512146,0.0003
0.025575553998351097,47,9200,214.09596,0.0,100.0,195,92,2096,2.1719333305954933,0.1057291254401207,-25.921589136123657,-26.121321201324463,0.0003
0.02557501383125782,47,9600,214.42236,0.0,100.0,204,96,2192,2.3497466817498207,0.10279607167467475,-24.48363447189331,-27.072962045669556,0.0003
0.025579655542969704,46,10000,215.29805,0.0,100.0,213,100,2304,2.7138415463268757,0.09950496396049857,-25.53069531917572,-28.254551887512207,0.0003
0.02558036707341671,46,10400,212.63687,0.0,100.0,223,104,2400,2.5208531841635704,0.09679172653704882,-23.906533360481262,-29.13201892375946,0.0003
0.025583330541849136,46,10800,210.49057,0.0,100.0,232,108,2496,2.8717791363596916,0.0941606005653739,-25.314422011375427,-30.26800000667572,0.0003
0.025587163865566254,46,11200,207.96233,0.0,100.0,240,112,2592,3.039402022957802,0.09162564994767308,-26.260891437530518,-30.988194465637207,0.0003
0.025591488927602768,46,11600,209.74112,0.0,100.0,250,116,2704,2.9119006916880608,0.08872449630871415,-25.11929225921631,-32.040939688682556,0.0003
0.025594133883714676,46,12000,211.8189,0.0,100.0,258,120,2800,3.3377450183033943,0.08631147583946586,-26.05980098247528,-33.320674896240234,0.0003
0.025594094768166542,46,12400,213.61273,0.0,100.0,267,124,2896,3.213273525238037,0.08395002502948046,-25.805660009384155,-34.485684394836426,0.0003
0.02559647522866726,46,12800,212.6044,0.0,100.0,276,128,2992,3.322614073753357,0.08168146666139364,-25.884147882461548,-35.33534526824951,0.0003
0.02559828944504261,46,13200,214.58595,0.0,100.0,286,132,3104,4.305043637752533,0.07918682741001248,-26.216081857681274,-36.5229287147522,0.0003
0.02560308389365673,46,13600,215.45709,0.0,100.0,294,136,3200,3.735859103500843,0.0771129704080522,-25.360695838928223,-37.19970774650574,0.0003
0.02560487762093544,46,14000,217.94785,0.0,100.0,303,140,3296,3.5591309517621994,0.07501707877963781,-26.507052779197693,-37.98271703720093,0.0003
0.025607790797948837,46,14400,221.15994,0.0,100.0,312,144,3392,4.426467463374138,0.07301124837249517,-24.587576150894165,-38.95535349845886,0.0003
0.025609513744711876,45,14800,222.24025,0.0,100.0,322,148,3504,4.805181220173836,0.07076551858335733,-25.235188245773315,-39.96877098083496,0.0003
0.02561132051050663,45,15200,224.02736,0.0,100.0,331,152,3600,3.5161645859479904,0.0689091901294887,-24.64632821083069,-41.08308124542236,0.0003
0.02561389096081257,45,15600,226.0122,0.0,100.0,339,156,3696,3.0846423357725143,0.06713096145540476,-24.944085478782654,-42.064159870147705,0.0003
0.025614062324166298,46,16000,229.84265,0.0,100.0,347,160,3792,3.925027996301651,0.0654041706584394,-24.181410908699036,-43.00339484214783,0.0003
0.025615667924284935,45,16400,232.3955,0.0,100.0,357,164,3904,3.2948698103427887,0.0635188021697104,-24.912815809249878,-43.833513498306274,0.0003
0.025618689134716988,45,16800,233.15686,0.0,100.0,366,168,4000,3.3856419548392296,0.06190181593410671,-25.78625237941742,-45.04778075218201,0.0003
0.025619560852646828,45,17200,234.83461,0.0,100.0,375,172,4096,3.166665755212307,0.06024825875647366,-25.71416699886322,-45.986143589019775,0.0003
0.02562406286597252,45,17600,234.24283,0.0,100.0,384,176,4192,3.3244656175374985,0.05868751974776387,-26.091832399368286,-46.97710919380188,0.0003
0.02562546171247959,45,18000,235.85207,0.0,100.0,393,180,4304,3.6375061497092247,0.05692057963460684,-25.468963384628296,-47.664597272872925,0.0003
0.02562745288014412,45,18400,237.69159,0.0,100.0,402,184,4400,4.330162361264229,0.05546607566066086,-25.284316778182983,-48.603981018066406,0.0003
0.025629965588450432,45,18800,239.69836,0.0,100.0,411,188,4496,3.422142043709755,0.05410898709669709,-25.77234661579132,-49.27131509780884,0.0003
0.02563307248055935,45,19200,243.35437,0.0,100.0,419,192,4592,4.14020249247551,0.05269538494758308,-26.44866681098938,-49.78256297111511,0.0003
0.025635387748479843,45,19600,245.84735,0.0,100.0,429,196,4704,3.1429571956396103,0.05108406511135399,-25.58946716785431,-50.987995624542236,0.0003
0.02563701942563057,45,20000,247.4117,0.0,100.0,438,200,4800,4.933797121047974,0.049805848160758615,-23.366148114204407,-51.13031840324402,0.0003
0.02564060129225254,45,20400,250.36397,0.0,100.0,448,204,4896,3.7779819518327713,0.048550170147791505,-23.93223911523819,-52.44382619857788,0.0003
0.02564368210732937,45,20800,253.2366,0.0,100.0,457,208,4992,3.9414006024599075,0.0473394759465009,-25.12250316143036,-53.59709596633911,0.0003
0.02564552240073681,45,21200,255.65863,0.0,100.0,466,212,5104,4.416352793574333,0.04593647154979408,-25.919555068016052,-53.96150207519531,0.0003
0.025648735463619232,45,21600,257.61588,0.0,100.0,475,216,5200,3.9610174372792244,0.044762050500139594,-24.917771697044373,-55.25202178955078,0.0003
0.025652099400758743,45,22000,258.13312,0.0,100.0,483,220,5296,3.669944867491722,0.04366409499198198,-25.17491328716278,-55.67934465408325,0.0003
0.025652995333075523,45,22400,259.53204,0.0,100.0,492,224,5392,4.376227453351021,0.042579756351187825,-24.669715881347656,-56.352436542510986,0.0003
0.02566034533083439,45,22800,261.44037,0.0,100.0,501,228,5504,4.3156313598155975,0.04134099022485316,-24.110223054885864,-57.26061701774597,0.0003
0.02566361613571644,45,23200,263.28317,0.0,100.0,510,232,5600,4.148217722773552,0.04033996514044702,-23.762418746948242,-58.07208752632141,0.0003
0.02566821686923504,45,23600,265.6789,0.0,100.0,519,236,5696,5.7555181086063385,0.03937547956593335,-24.108242511749268,-58.95101618766785,0.0003
0.02567202039062977,45,24000,267.19388,0.0,100.0,528,240,5792,5.188935860991478,0.03847809787839651,-22.322389841079712,-58.97728371620178,0.0003
0.025673633441329002,45,24400,267.11807,0.0,100.0,537,244,5904,5.380937039852142,0.03743329574353993,-22.956211388111115,-59.17940878868103,0.0003
0.0256750900298357,45,24800,267.25214,0.0,100.0,546,248,6000,7.234299570322037,0.03656884119845927,-17.90155589580536,-59.636879444122314,0.0003
0.02567610703408718,45,25200,268.62134,0.0,100.0,555,252,6096,6.657908514142036,0.03582078358158469,-21.57932859659195,-59.360270500183105,0.0003
0.02567906491458416,45,25600,270.46802,0.0,100.0,564,256,6192,6.689954921603203,0.034954175585880876,-21.74563694000244,-59.66617465019226,0.0003
0.025685476139187813,45,26000,269.55563,0.0,100.0,573,260,6304,5.702603489160538,0.03398607484996319,-25.31940847635269,-59.72504901885986,0.0003
0.02569018118083477,45,26400,270.48157,0.0,100.0,582,264,6400,6.199065640568733,0.03312733001075685,-20.534729599952698,-61.03298997879028,0.0003
0.025688527151942253,45,26800,271.61005,0.0,100.0,591,268,6496,5.1674279272556305,0.032334667397663,-21.70944344997406,-61.298086643218994,0.0003
0.02569030039012432,45,27200,271.0948,0.0,100.0,600,272,6592,5.741069242358208,0.031634652288630605,-17.891324996948242,-62.271153688430786,0.0003
0.025693319737911224,45,27600,273.5464,0.0,100.0,610,276,6704,4.812383994460106,0.03078949626069516,-23.114081025123596,-62.96672034263611,0.0003
0.025698697194457054,45,28000,275.42728,0.0,100.0,619,280,6800,6.640436217188835,0.030069868080317974,-21.644086003303528,-63.76461362838745,0.0003
0.02570248953998089,45,28400,276.3348,0.0,100.0,627,284,6896,5.870374172925949,0.029406129731796682,-16.631579637527466,-64.44852018356323,0.0003
0.025708122178912163,45,28800,276.08264,0.0,100.0,636,288,6992,6.505738988518715,0.028819439467042685,-18.531517207622528,-65.33221578598022,0.0003
0.025709204375743866,45,29200,276.12054,0.0,100.0,645,292,7104,9.501975029706955,0.028099705232307315,-12.330702424049377,-65.89499855041504,0.0003
0.025709548965096474,45,29600,275.81702,0.0,100.0,654,296,7200,6.185603946447372,0.027549224207177758,-16.37821125984192,-66.9448413848877,0.0003
0.025713833048939705,45,30000,276.22995,0.0,100.0,663,300,7296,9.03758305311203,0.027049849391914904,-11.258187644183636,-67.61120176315308,0.0003
0.025718895718455315,45,30400,274.84592,0.0,100.0,671,304,7392,7.871063709259033,0.02669983555097133,-12.654182583093643,-68.95572423934937,0.0003
0.025724705308675766,45,30800,273.0272,0.0,100.0,681,308,7504,7.523878186941147,0.02611831109970808,-15.14051228761673,-69.46822309494019,0.0003
0.025728322565555573,45,31200,273.5464,0.0,100.0,689,312,7600,7.292735785245895,0.025599295273423195,-15.361525803804398,-70.24948453903198,0.0003
0.025730576366186142,45,31600,272.65192,0.0,100.0,698,316,7696,7.468467622995377,0.025146647123619914,-12.529642447829247,-71.2458176612854,0.0003
0.025733914226293564,45,32000,271.9725,0.0,100.0,707,320,7792,7.879327148199081,0.024680466041900218,-14.703248858451843,-71.40943241119385,0.0003
0.025736188516020775,45,32400,270.9279,0.0,100.0,717,324,7904,5.613267004489899,0.024078269605524838,-11.768256068229675,-72.19339990615845,0.0003
0.025742704048752785,45,32800,270.0766,0.0,100.0,726,328,8000,7.09870445728302,0.02350971254054457,-18.16969120502472,-72.94179153442383,0.0003
0.025743091478943825,45,33200,270.31403,0.0,100.0,735,332,8096,6.77741827070713,0.02291971631348133,-19.422006905078888,-73.3401107788086,0.0003
