rollout/ep_rew_mean,time/time_elapsed,rollout/success_rate,time/total_timesteps,reward/goal_reward,rollout/ep_len_mean,time/fps,train/std,reward/approach_reward,reward/static_reward,reward/grasp_reward,time/episodes,reward/info_exist_reward,train/critic_aux_loss,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/n_updates,train/actor_aux_loss,train/aux_weight,train/target_weight,train/actor_target_loss,train/ent_coef,train/critic_target_loss
146.54646,199,0.0,9600,0.0,100.0,48,0.025759099051356316,2.8823428666739925,0.0,0.0,92,0.105,0.3332997397519648,0.0003,43.45131379365921,27.115365266799927,-13.033446237444878,1088,0.23778323037549853,100.0,100.0,0.09995140589307994,0.1494653457775712,0.09930183121468872
146.54646,199,0.0,9600,,100.0,48,0.025759099051356316,,,,96,,,,,,,,,,,,,
146.59778,222,0.0,10400,0.0,100.0,46,0.025791186839342117,2.709132773719669,0.0,0.0,100,0.16799999999999998,0.3211553539149463,0.0003,42.515535831451416,25.22111612558365,-13.390568494796753,1216,0.2259569817688316,100.0,100.0,0.10164711927063763,0.1442111753858626,0.10235134186223149
146.59778,222,0.0,10400,,100.0,46,0.025791186839342117,,,,104,,,,,,,,,,,,,
146.56036,234,0.0,11200,0.0,100.0,47,0.025806719437241554,2.433720094484219,0.0,0.0,108,0.06599999999999999,0.3162713819183409,0.0003,41.97566658258438,23.98946389555931,-13.29442723840475,1280,0.21792628173716366,100.0,100.0,0.10093829105608165,0.1416829419322312,0.10205545148346573
146.56036,234,0.0,11200,,100.0,47,0.025806719437241554,,,,112,,,,,,,,,,,,,
145.84,257,0.0,12000,0.0,100.0,46,0.02583760768175125,2.257910061727789,0.0,0.0,116,0.07799999999999999,0.3174959821626544,0.0003,41.75269556045532,23.02639091014862,-13.693190589547157,1408,0.22207380598410964,100.0,100.0,0.09519074892159551,0.13658252521418035,0.09825909265782684
145.84,257,0.0,12000,,100.0,46,0.02583760768175125,,,,120,,,,,,,,,,,,,
146.67465,269,0.0,12800,0.0,100.0,47,0.025853250175714493,2.99197355502139,0.0,0.0,124,0.11999999999999998,0.3210483347065747,0.0003,41.86478167772293,22.572397738695145,-14.21995696425438,1472,0.22488192794844508,100.0,100.0,0.09220407623797655,0.13416437013074756,0.09598733519669622
146.67465,269,0.0,12800,,100.0,47,0.025853250175714493,,,,128,,,,,,,,,,,,,
