time/fps,train/std,time/time_elapsed,rollout/success_rate,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/target_weight,train/critic_aux_loss,train/n_updates,train/actor_loss,train/actor_aux_loss,train/aux_weight,train/ent_coef_loss,train/learning_rate,train/critic_target_loss,train/actor_target_loss,train/ent_coef,train/critic_loss
47,0.025859734043478966,253,0.0,12000,116,219.75244,100.0,100.0,0.3305263160727918,1408,21.008962750434875,0.24721058108843863,100.0,-14.46356999874115,0.0003,0.0966431014239788,0.09863154124468565,0.13687006663531065,43.088000655174255
47,0.025859734043478966,253,0.0,12000,120,219.75244,100.0,,,,,,,,,,,,
48,0.025876369327306747,265,0.0,12800,124,215.83495,100.0,100.0,0.32649428956210613,1472,19.54678452014923,0.23811111156828701,100.0,-14.753535717725754,0.0003,0.09645964612718672,0.09812654578126967,0.13423802447505295,42.70538133382797
48,0.025876369327306747,265,0.0,12800,128,215.83495,100.0,,,,,,,,,,,,
47,0.025908304378390312,287,0.0,13600,132,216.38135,100.0,100.0,0.32214739732444286,1600,17.915227755904198,0.2368420814163983,100.0,-15.09923730790615,0.0003,0.09667057555634528,0.0958536114776507,0.12919585220515728,42.407255709171295
47,0.025908304378390312,287,0.0,13600,136,216.38135,100.0,,,,,,,,,,,,
46,0.02594170533120632,309,0.0,14400,140,216.32355,100.0,100.0,0.314490738324821,1728,15.054484397172928,0.2239436712116003,100.0,-15.024079084396362,0.0003,0.09254405542742461,0.09109048789832741,0.12443389219697565,41.2569682598114
46,0.02594170533120632,309,0.0,14400,144,216.32355,100.0,,,,,,,,,,,,
47,0.025957193225622177,322,0.0,15200,148,218.42117,100.0,100.0,0.31049676099792123,1792,13.429517969489098,0.21724396548233926,100.0,-16.355782479047775,0.0003,0.09153796068858355,0.08966535504441708,0.12199169502127916,40.806968688964844
47,0.025957193225622177,322,0.0,15200,152,218.42117,100.0,,,,,,,,,,,,
46,0.02598857507109642,344,0.0,16000,156,219.355,100.0,100.0,0.29952238406986,1920,11.305198833346367,0.21041644434444606,100.0,-14.522411435842514,0.0003,0.08843415230512619,0.08521463873330504,0.11736115801613778,39.45205909013748
46,0.02598857507109642,344,0.0,16000,160,219.355,100.0,,,,,,,,,,,,
46,0.02600371278822422,357,0.0,16800,164,222.36467,100.0,100.0,0.3011235031299293,1984,10.248371958732605,0.21054960787296295,100.0,-15.243200048804283,0.0003,0.08617147279437631,0.08099167246837169,0.11525467922911048,39.49883133172989
46,0.02600371278822422,357,0.0,16800,168,222.36467,100.0,,,,,,,,,,,,
46,0.026038996875286102,379,0.0,17600,172,224.9976,100.0,100.0,0.2990725855343044,2112,9.300447165966034,0.21607847907580435,100.0,-15.298499286174774,0.0003,0.08535314921755344,0.07780895626638085,0.11106849217321724,39.266782224178314
46,0.026038996875286102,379,0.0,17600,176,224.9976,100.0,,,,,,,,,,,,
46,0.026055989786982536,392,0.0,18400,180,224.18309,100.0,100.0,0.2929745255969465,2176,8.543695941567421,0.21380176325328648,100.0,-15.93137240409851,0.0003,0.08711775683332235,0.07929538539610803,0.10901921358890831,38.94106537103653
46,0.026055989786982536,392,0.0,18400,184,224.18309,100.0,,,,,,,,,,,,
46,0.02608850970864296,413,0.0,19200,188,228.10353,100.0,100.0,0.2870311923325062,2304,5.5646871998906136,0.19590199715457857,100.0,-15.402806088328362,0.0003,0.08966483816038817,0.07787324406672269,0.10506845638155937,38.67633676528931
46,0.02608850970864296,413,0.0,19200,192,228.10353,100.0,,,,,,,,,,,,
45,0.026119722053408623,436,0.0,20000,196,229.50781,100.0,100.0,0.28134197602048516,2432,2.7886699065566063,0.18903224263340235,100.0,-15.547697082161903,0.0003,0.08521958242636174,0.06984469597227871,0.10119044466409832,37.80874180793762
45,0.026119722053408623,436,0.0,20000,200,229.50781,100.0,,,,,,,,,,,,
46,0.026138056069612503,448,0.0,20800,204,228.6621,100.0,98.0,0.2801737943664193,2496,1.3554920479655266,0.18592779501341283,98.0,-15.657989516854286,0.0003,0.08690294134430587,0.06952020846074447,0.09939890762325376,37.115322947502136
46,0.026138056069612503,448,0.0,20800,208,228.6621,100.0,,,,,,,,,,,,
45,0.02617122046649456,470,0.0,21600,212,232.32799,100.0,98.0,0.276195430662483,2624,-0.8303716108202934,0.18348410772159696,98.0,-16.48809687793255,0.0003,0.0849183143582195,0.061495728441514075,0.09585341741330922,36.70646780729294
45,0.02617122046649456,470,0.0,21600,216,232.32799,100.0,,,,,,,,,,,,
